h,V,C,x,y,Y
2.5B,2,2,0.2578,0.2940,3.126
2.5B,3,2,0.2636,0.2983,6.555
2.5B,3,4,0.2183,0.2748,6.555
2.5B,3,6,0.1826,0.2536,6.555
2.5B,4,2,0.2727,0.3038,12.000
2.5B,4,4,0.2360,0.2872,12.000
2.5B,4,6,0.2048,0.2708,12.000
2.5B,4,8,0.1737,0.2524,12.000
2.5B,5,2,0.2791,0.3071,19.770
2.5B,5,4,0.2492,0.2954,19.770
2.5B,5,6,0.2210,0.2823,19.770
2.5B,6,2,0.2835,0.3097,30.050
2.5B,6,4,0.2571,0.3008,30.050
2.5B,6,6,0.2312,0.2899,30.050
2.5B,7,2,0.2867,0.3110,43.060
2.5B,7,4,0.2629,0.3038,43.060
2.5B,7,6,0.2418,0.2960,43.060
2.5B,8,2,0.2897,0.3124,59.100
2.5B,8,4,0.2668,0.3067,59.100
5B,2,2,0.2559,0.2874,3.126
5B,3,2,0.2617,0.2921,6.555
5B,3,4,0.2176,0.2632,6.555
5B,3,6,0.1835,0.2375,6.555
5B,4,2,0.2723,0.2992,12.000
5B,4,4,0.2363,0.2782,12.000
5B,4,6,0.2060,0.2572,12.000
5B,4,8,0.1759,0.2345,12.000
5B,5,2,0.2794,0.3032,19.770
5B,5,4,0.2493,0.2879,19.770
5B,5,6,0.2215,0.2701,19.770
5B,6,2,0.2842,0.3063,30.050
5B,6,4,0.2579,0.2938,30.050
5B,6,6,0.2320,0.2789,30.050
5B,7,2,0.2875,0.3078,43.060
5B,7,4,0.2633,0.2972,43.060
5B,7,6,0.2410,0.2854,43.060
5B,8,2,0.2908,0.3096,59.100
5B,8,4,0.2671,0.2998,59.100
7.5B,2,2,0.2545,0.2799,3.126
7.5B,2,4,0.2063,0.2400,3.126
7.5B,3,2,0.2616,0.2857,6.555
7.5B,3,4,0.2200,0.2536,6.555
7.5B,3,6,0.1875,0.2258,6.555
7.5B,3,8,0.1583,0.1987,6.555
7.5B,4,2,0.2733,0.2947,12.000
7.5B,4,4,0.2388,0.2704,12.000
7.5B,4,6,0.2102,0.2470,12.000
7.5B,4,8,0.1821,0.2232,12.000
7.5B,5,2,0.2803,0.3000,19.770
7.5B,5,4,0.2511,0.2808,19.770
7.5B,5,6,0.2248,0.2612,19.770
7.5B,6,2,0.2854,0.3037,30.050
7.5B,6,4,0.2602,0.2881,30.050
7.5B,6,6,0.2352,0.2708,30.050
7.5B,7,2,0.2888,0.3058,43.060
7.5B,7,4,0.2651,0.2927,43.060
7.5B,7,6,0.2436,0.2787,43.060
7.5B,8,2,0.2922,0.3077,59.100
7.5B,8,4,0.2688,0.2956,59.100
10B,2,2,0.2558,0.2725,3.126
10B,2,4,0.2102,0.2313,3.126
10B,3,2,0.2631,0.2801,6.555
10B,3,4,0.2246,0.2467,6.555
10B,3,6,0.1933,0.2173,6.555
10B,3,8,0.1658,0.1905,6.555
10B,4,2,0.2753,0.2910,12.000
10B,4,4,0.2429,0.2648,12.000
10B,4,6,0.2157,0.2407,12.000
10B,4,8,0.1893,0.2160,12.000
10B,5,2,0.2821,0.2966,19.770
10B,5,4,0.2547,0.2757,19.770
10B,5,6,0.2299,0.2548,19.770
10B,6,2,0.2871,0.3012,30.050
10B,6,4,0.2637,0.2840,30.050
10B,6,6,0.2399,0.2650,30.050
10B,7,2,0.2908,0.3039,43.060
10B,7,4,0.2685,0.2886,43.060
10B,7,6,0.2478,0.2728,43.060
10B,8,2,0.2935,0.3062,59.100
10B,8,4,0.2718,0.2911,59.100
