h,V,C,x,y,Y
2.5BG,2,2,0.2765,0.3271,3.126
2.5BG,2,4,0.2343,0.3378,3.126
2.5BG,3,2,0.2799,0.3271,6.555
2.5BG,3,4,0.2437,0.3386,6.555
2.5BG,3,6,0.2132,0.3468,6.555
2.5BG,4,2,0.2840,0.3270,12.000
2.5BG,4,4,0.2552,0.3375,12.000
2.5BG,4,6,0.2278,0.3463,12.000
2.5BG,5,2,0.2880,0.3270,19.770
2.5BG,5,4,0.2659,0.3369,19.770
2.5BG,5,6,0.2448,0.3452,19.770
2.5BG,6,2,0.2902,0.3268,30.050
2.5BG,6,4,0.2702,0.3369,30.050
2.5BG,6,6,0.2526,0.3448,30.050
2.5BG,7,2,0.2927,0.3269,43.060
2.5BG,7,4,0.2764,0.3354,43.060
2.5BG,8,2,0.2940,0.3268,59.100
5BG,2,2,0.2697,0.3175,3.126
5BG,2,4,0.2234,0.3150,3.126
5BG,3,2,0.2742,0.3192,6.555
5BG,3,4,0.2343,0.3200,6.555
5BG,3,6,0.2020,0.3188,6.555
5BG,4,2,0.2799,0.3208,12.000
5BG,4,4,0.2480,0.3232,12.000
5BG,4,6,0.2182,0.3240,12.000
5BG,5,2,0.2841,0.3210,19.770
5BG,5,4,0.2591,0.3246,19.770
5BG,5,6,0.2360,0.3270,19.770
5BG,6,2,0.2872,0.3219,30.050
5BG,6,4,0.2648,0.3262,30.050
5BG,6,6,0.2441,0.3290,30.050
5BG,7,2,0.2898,0.3225,43.060
5BG,7,4,0.2712,0.3269,43.060
5BG,8,2,0.2919,0.3228,59.100
7.5BG,2,2,0.2651,0.3098,3.126
7.5BG,2,4,0.2162,0.2981,3.126
7.5BG,3,2,0.2699,0.3120,6.555
7.5BG,3,4,0.2272,0.3041,6.555
7.5BG,3,6,0.1928,0.2958,6.555
7.5BG,4,2,0.2764,0.3148,12.000
7.5BG,4,4,0.2429,0.3108,12.000
7.5BG,4,6,0.2113,0.3052,12.000
7.5BG,5,2,0.2812,0.3161,19.770
7.5BG,5,4,0.2550,0.3150,19.770
7.5BG,5,6,0.2292,0.3125,19.770
7.5BG,6,2,0.2849,0.3172,30.050
7.5BG,6,4,0.2604,0.3169,30.050
7.5BG,6,6,0.2384,0.3155,30.050
7.5BG,7,2,0.2878,0.3182,43.060
7.5BG,7,4,0.2671,0.3189,43.060
7.5BG,8,2,0.2900,0.3183,59.100
10BG,2,2,0.2606,0.3010,3.126
10BG,3,2,0.2660,0.3050,6.555
10BG,3,4,0.2221,0.2886,6.555
10BG,3,6,0.1861,0.2722,6.555
10BG,4,2,0.2740,0.3091,12.000
10BG,4,4,0.2384,0.2984,12.000
10BG,4,6,0.2065,0.2863,12.000
10BG,5,2,0.2796,0.3111,19.770
10BG,5,4,0.2512,0.3040,19.770
10BG,5,6,0.2234,0.2952,19.770
10BG,6,2,0.2837,0.3132,30.050
10BG,6,4,0.2578,0.3078,30.050
10BG,6,6,0.2335,0.3015,30.050
10BG,7,2,0.2869,0.3143,43.060
10BG,7,4,0.2642,0.3109,43.060
10BG,8,2,0.2894,0.3152,59.100
