h,V,C,x,y,Y
2.5G,2,2,0.2978,0.3507,3.126
2.5G,3,2,0.2999,0.3500,6.555
2.5G,3,4,0.2836,0.3915,6.555
2.5G,4,2,0.3012,0.3470,12.000
2.5G,4,4,0.2891,0.3821,12.000
2.5G,4,6,0.2735,0.4215,12.000
2.5G,5,2,0.3030,0.3445,19.770
2.5G,5,4,0.2943,0.3735,19.770
2.5G,5,6,0.2841,0.4045,19.770
2.5G,5,8,0.2710,0.4380,19.770
2.5G,6,2,0.3039,0.3437,30.050
2.5G,6,4,0.2967,0.3695,30.050
2.5G,6,6,0.2892,0.3963,30.050
2.5G,6,8,0.2799,0.4239,30.050
2.5G,7,2,0.3047,0.3413,43.060
2.5G,7,4,0.2992,0.3644,43.060
2.5G,7,6,0.2933,0.3873,43.060
2.5G,7,8,0.2861,0.4129,43.060
2.5G,8,2,0.3053,0.3404,59.100
2.5G,8,4,0.3009,0.3614,59.100
2.5G,8,6,0.2952,0.3851,59.100
5G,2,2,0.2918,0.3450,3.126
5G,3,2,0.2935,0.3439,6.555
5G,3,4,0.2711,0.3780,6.555
5G,4,2,0.2959,0.3417,12.000
5G,4,4,0.2781,0.3704,12.000
5G,5,2,0.2978,0.3392,19.770
5G,5,4,0.2841,0.3628,19.770
5G,5,6,0.2690,0.3860,19.770
5G,5,8,0.2511,0.4107,19.770
5G,6,2,0.2988,0.3382,30.050
5G,6,4,0.2868,0.3595,30.050
5G,6,6,0.2748,0.3795,30.050
5G,7,2,0.3001,0.3366,43.060
5G,7,4,0.2902,0.3548,43.060
5G,7,6,0.2801,0.3721,43.060
5G,8,2,0.3009,0.3359,59.100
5G,8,4,0.2924,0.3523,59.100
5G,8,6,0.2822,0.3702,59.100
7.5G,2,2,0.2869,0.3400,3.126
7.5G,3,2,0.2890,0.3391,6.555
7.5G,3,4,0.2618,0.3667,6.555
7.5G,4,2,0.2919,0.3371,12.000
7.5G,4,4,0.2702,0.3602,12.000
7.5G,5,2,0.2945,0.3355,19.770
7.5G,5,4,0.2775,0.3545,19.770
7.5G,5,6,0.2598,0.3724,19.770
7.5G,5,8,0.2395,0.3915,19.770
7.5G,6,2,0.2958,0.3344,30.050
7.5G,6,4,0.2807,0.3522,30.050
7.5G,6,6,0.2662,0.3672,30.050
7.5G,7,2,0.2972,0.3333,43.060
7.5G,7,4,0.2850,0.3482,43.060
7.5G,7,6,0.2728,0.3622,43.060
7.5G,8,2,0.2981,0.3326,59.100
7.5G,8,4,0.2874,0.3464,59.100
10G,2,2,0.2820,0.3341,3.126
10G,3,2,0.2844,0.3337,6.555
10G,3,4,0.2525,0.3537,6.555
10G,4,2,0.2880,0.3327,12.000
10G,4,4,0.2628,0.3498,12.000
10G,5,2,0.2910,0.3310,19.770
10G,5,4,0.2711,0.3455,19.770
10G,5,6,0.2519,0.3587,19.770
10G,6,2,0.2929,0.3303,30.050
10G,6,4,0.2749,0.3443,30.050
10G,6,6,0.2591,0.3558,30.050
10G,7,2,0.2945,0.3297,43.060
10G,7,4,0.2803,0.3415,43.060
10G,8,2,0.2957,0.3293,59.100
