h,V,C,x,y,Y
2.5GY,2,2,0.3421,0.3803,3.126
2.5GY,3,2,0.3412,0.3768,6.555
2.5GY,3,4,0.3772,0.4484,6.555
2.5GY,4,2,0.3382,0.3706,12.000
2.5GY,4,4,0.3708,0.4329,12.000
2.5GY,4,6,0.3968,0.4857,12.000
2.5GY,5,2,0.3352,0.3636,19.770
2.5GY,5,4,0.3621,0.4143,19.770
2.5GY,5,6,0.3879,0.4646,19.770
2.5GY,5,8,0.4088,0.5068,19.770
2.5GY,6,2,0.3342,0.3607,30.050
2.5GY,6,4,0.3572,0.4038,30.050
2.5GY,6,6,0.3799,0.4470,30.050
2.5GY,6,8,0.4006,0.4885,30.050
2.5GY,7,2,0.3328,0.3569,43.060
2.5GY,7,4,0.3534,0.3953,43.060
2.5GY,7,6,0.3728,0.4316,43.060
2.5GY,7,8,0.3919,0.4684,43.060
2.5GY,7,10,0.4091,0.5030,43.060
2.5GY,8,2,0.3327,0.3555,59.100
2.5GY,8,4,0.3504,0.3887,59.100
2.5GY,8,6,0.3690,0.4230,59.100
2.5GY,8,8,0.3858,0.4550,59.100
5GY,2,2,0.3309,0.3743,3.126
5GY,3,2,0.3319,0.3729,6.555
5GY,3,4,0.3554,0.4429,6.555
5GY,4,2,0.3312,0.3678,12.000
5GY,4,4,0.3538,0.4284,12.000
5GY,4,6,0.3718,0.4852,12.000
5GY,5,2,0.3289,0.3612,19.770
5GY,5,4,0.3482,0.4097,19.770
5GY,5,6,0.3663,0.4614,19.770
5GY,5,8,0.3815,0.5093,19.770
5GY,6,2,0.3288,0.3592,30.050
5GY,6,4,0.3461,0.4008,30.050
5GY,6,6,0.3622,0.4438,30.050
5GY,6,8,0.3772,0.4880,30.050
5GY,7,2,0.3284,0.3559,43.060
5GY,7,4,0.3437,0.3929,43.060
5GY,7,6,0.3581,0.4291,43.060
5GY,7,8,0.3722,0.4669,43.060
5GY,7,10,0.3852,0.5051,43.060
5GY,8,2,0.3284,0.3542,59.100
5GY,8,4,0.3433,0.3872,59.100
5GY,8,6,0.3573,0.4214,59.100
5GY,8,8,0.3696,0.4542,59.100
7.5GY,2,2,0.3165,0.3650,3.126
7.5GY,3,2,0.3180,0.3644,6.555
7.5GY,3,4,0.3270,0.4288,6.555
7.5GY,4,2,0.3185,0.3604,12.000
7.5GY,4,4,0.3281,0.4157,12.000
7.5GY,4,6,0.3355,0.4739,12.000
7.5GY,5,2,0.3188,0.3560,19.770
7.5GY,5,4,0.3274,0.3994,19.770
7.5GY,5,6,0.3354,0.4483,19.770
7.5GY,5,8,0.3412,0.4976,19.770
7.5GY,6,2,0.3193,0.3550,30.050
7.5GY,6,4,0.3275,0.3922,30.050
7.5GY,6,6,0.3351,0.4321,30.050
7.5GY,6,8,0.3418,0.4768,30.050
7.5GY,6,10,0.3463,0.5196,30.050
7.5GY,7,2,0.3190,0.3516,43.060
7.5GY,7,4,0.3267,0.3848,43.060
7.5GY,7,6,0.3341,0.4191,43.060
7.5GY,7,8,0.3406,0.4558,43.060
7.5GY,7,10,0.3461,0.4950,43.060
7.5GY,8,2,0.3194,0.3502,59.100
7.5GY,8,4,0.3266,0.3809,59.100
7.5GY,8,6,0.3339,0.4129,59.100
7.5GY,8,8,0.3408,0.4452,59.100
10GY,2,2,0.3069,0.3580,3.126
10GY,3,2,0.3088,0.3578,6.555
10GY,3,4,0.3053,0.4123,6.555
10GY,4,2,0.3109,0.3550,12.000
10GY,4,4,0.3100,0.4018,12.000
10GY,4,6,0.3069,0.4550,12.000
10GY,5,2,0.3110,0.3508,19.770
10GY,5,4,0.3111,0.3881,19.770
10GY,5,6,0.3108,0.4301,19.770
10GY,5,8,0.3080,0.4759,19.770
10GY,6,2,0.3112,0.3496,30.050
10GY,6,4,0.3124,0.3822,30.050
10GY,6,6,0.3128,0.4175,30.050
10GY,6,8,0.3116,0.4563,30.050
10GY,6,10,0.3086,0.4949,30.050
10GY,7,2,0.3117,0.3469,43.060
10GY,7,4,0.3133,0.3764,43.060
10GY,7,6,0.3142,0.4058,43.060
10GY,7,8,0.3140,0.4387,43.060
10GY,8,2,0.3121,0.3459,59.100
10GY,8,4,0.3140,0.3727,59.100
10GY,8,6,0.3150,0.4014,59.100
