h,V,C,x,y,Y
2.5P,2,2,0.2892,0.2583,3.126
2.5P,2,4,0.2758,0.2208,3.126
2.5P,2,6,0.2661,0.1921,3.126
2.5P,3,2,0.2922,0.2680,6.555
2.5P,3,4,0.2792,0.2342,6.555
2.5P,3,6,0.2691,0.2072,6.555
2.5P,3,8,0.2615,0.1845,6.555
2.5P,3,10,0.2548,0.1638,6.555
2.5P,4,2,0.2962,0.2807,12.000
2.5P,4,4,0.2855,0.2531,12.000
2.5P,4,6,0.2763,0.2300,12.000
2.5P,4,8,0.2685,0.2089,12.000
2.5P,4,10,0.2619,0.1903,12.000
2.5P,4,12,0.2559,0.1730,12.000
2.5P,5,2,0.3000,0.2912,19.770
2.5P,5,4,0.2898,0.2667,19.770
2.5P,5,6,0.2806,0.2444,19.770
2.5P,5,8,0.2728,0.2240,19.770
2.5P,5,10,0.2665,0.2075,19.770
2.5P,6,2,0.3016,0.2960,30.050
2.5P,6,4,0.2932,0.2759,30.050
2.5P,6,6,0.2842,0.2550,30.050
2.5P,6,8,0.2770,0.2372,30.050
2.5P,7,2,0.3031,0.3000,43.060
2.5P,7,4,0.2950,0.2810,43.060
2.5P,7,6,0.2873,0.2633,43.060
2.5P,8,2,0.3048,0.3040,59.100
2.5P,8,4,0.2962,0.2850,59.100
5P,2,2,0.2984,0.2612,3.126
5P,2,4,0.2908,0.2261,3.126
5P,2,6,0.2850,0.1992,3.126
5P,3,2,0.2997,0.2700,6.555
5P,3,4,0.2928,0.2386,6.555
5P,3,6,0.2870,0.2135,6.555
5P,3,8,0.2819,0.1910,6.555
5P,3,10,0.2772,0.1707,6.555
5P,4,2,0.3022,0.2825,12.000
5P,4,4,0.2958,0.2565,12.000
5P,4,6,0.2903,0.2347,12.000
5P,4,8,0.2855,0.2150,12.000
5P,4,10,0.2814,0.1967,12.000
5P,4,12,0.2778,0.1808,12.000
5P,5,2,0.3045,0.2928,19.770
5P,5,4,0.2986,0.2699,19.770
5P,5,6,0.2932,0.2487,19.770
5P,5,8,0.2885,0.2296,19.770
5P,5,10,0.2845,0.2137,19.770
5P,6,2,0.3050,0.2967,30.050
5P,6,4,0.3001,0.2778,30.050
5P,6,6,0.2950,0.2585,30.050
5P,6,8,0.2905,0.2421,30.050
5P,7,2,0.3059,0.3010,43.060
5P,7,4,0.3009,0.2831,43.060
5P,7,6,0.2961,0.2663,43.060
5P,8,2,0.3065,0.3047,59.100
5P,8,4,0.3012,0.2868,59.100
7.5P,2,2,0.3071,0.2647,3.126
7.5P,2,4,0.3048,0.2321,3.126
7.5P,2,6,0.3025,0.2058,3.126
7.5P,3,2,0.3088,0.2740,6.555
7.5P,3,4,0.3072,0.2448,6.555
7.5P,3,6,0.3057,0.2208,6.555
7.5P,3,8,0.3037,0.1981,6.555
7.5P,3,10,0.3020,0.1794,6.555
7.5P,4,2,0.3093,0.2859,12.000
7.5P,4,4,0.3084,0.2622,12.000
7.5P,4,6,0.3076,0.2416,12.000
7.5P,4,8,0.3066,0.2228,12.000
7.5P,4,10,0.3056,0.2060,12.000
7.5P,4,12,0.3045,0.1905,12.000
7.5P,5,2,0.3103,0.2959,19.770
7.5P,5,4,0.3100,0.2750,19.770
7.5P,5,6,0.3093,0.2555,19.770
7.5P,5,8,0.3087,0.2375,19.770
7.5P,5,10,0.3080,0.2230,19.770
7.5P,6,2,0.3107,0.2993,30.050
7.5P,6,4,0.3107,0.2831,30.050
7.5P,6,6,0.3101,0.2650,30.050
7.5P,6,8,0.3099,0.2502,30.050
7.5P,7,2,0.3109,0.3037,43.060
7.5P,7,4,0.3111,0.2880,43.060
7.5P,7,6,0.3111,0.2730,43.060
7.5P,7,8,0.3109,0.2584,43.060
7.5P,8,2,0.3107,0.3070,59.100
7.5P,8,4,0.3114,0.2915,59.100
10P,2,2,0.3161,0.2691,3.126
10P,2,4,0.3189,0.2390,3.126
10P,2,6,0.3207,0.2132,3.126
10P,3,2,0.3170,0.2790,6.555
10P,3,4,0.3214,0.2517,6.555
10P,3,6,0.3243,0.2293,6.555
10P,3,8,0.3269,0.2075,6.555
10P,3,10,0.3286,0.1889,6.555
10P,4,2,0.3162,0.2902,12.000
10P,4,4,0.3210,0.2686,12.000
10P,4,6,0.3248,0.2493,12.000
10P,4,8,0.3280,0.2318,12.000
10P,4,10,0.3306,0.2162,12.000
10P,5,2,0.3148,0.2986,19.770
10P,5,4,0.3198,0.2807,19.770
10P,5,6,0.3243,0.2630,19.770
10P,5,8,0.3280,0.2464,19.770
10P,5,10,0.3308,0.2328,19.770
10P,6,2,0.3146,0.3018,30.050
10P,6,4,0.3181,0.2871,30.050
10P,6,6,0.3226,0.2716,30.050
10P,6,8,0.3259,0.2584,30.050
10P,7,2,0.3138,0.3054,43.060
10P,7,4,0.3181,0.2920,43.060
10P,7,6,0.3221,0.2786,43.060
10P,7,8,0.3256,0.2654,43.060
10P,8,2,0.3131,0.3084,59.100
10P,8,4,0.3175,0.2955,59.100
