h,V,C,x,y,Y
2.5PB,2,2,0.2592,0.2675,3.126
2.5PB,2,4,0.2175,0.2245,3.126
2.5PB,2,6,0.1825,0.1857,3.126
2.5PB,3,2,0.2663,0.2756,6.555
2.5PB,3,4,0.2312,0.2405,6.555
2.5PB,3,6,0.2022,0.2101,6.555
2.5PB,3,8,0.1780,0.1833,6.555
2.5PB,3,10,0.1576,0.1600,6.555
2.5PB,4,2,0.2782,0.2876,12.000
2.5PB,4,4,0.2487,0.2597,12.000
2.5PB,4,6,0.2235,0.2343,12.000
2.5PB,4,8,0.1995,0.2094,12.000
2.5PB,4,10,0.1805,0.1888,12.000
2.5PB,5,2,0.2847,0.2942,19.770
2.5PB,5,4,0.2600,0.2720,19.770
2.5PB,5,6,0.2365,0.2488,19.770
2.5PB,5,8,0.2157,0.2278,19.770
2.5PB,6,2,0.2897,0.2991,30.050
2.5PB,6,4,0.2684,0.2804,30.050
2.5PB,6,6,0.2465,0.2599,30.050
2.5PB,6,8,0.2274,0.2406,30.050
2.5PB,7,2,0.2932,0.3025,43.060
2.5PB,7,4,0.2729,0.2848,43.060
2.5PB,7,6,0.2538,0.2677,43.060
2.5PB,8,2,0.2957,0.3047,59.100
2.5PB,8,4,0.2758,0.2879,59.100
5PB,2,2,0.2638,0.2624,3.126
5PB,2,4,0.2263,0.2192,3.126
5PB,2,6,0.1942,0.1811,3.126
5PB,3,2,0.2708,0.2719,6.555
5PB,3,4,0.2393,0.2361,6.555
5PB,3,6,0.2122,0.2052,6.555
5PB,3,8,0.1908,0.1799,6.555
5PB,3,10,0.1718,0.1562,6.555
5PB,3,12,0.1557,0.1356,6.555
5PB,4,2,0.2816,0.2842,12.000
5PB,4,4,0.2562,0.2560,12.000
5PB,4,6,0.2325,0.2300,12.000
5PB,4,8,0.2103,0.2050,12.000
5PB,4,10,0.1925,0.1843,12.000
5PB,5,2,0.2882,0.2923,19.770
5PB,5,4,0.2662,0.2687,19.770
5PB,5,6,0.2447,0.2449,19.770
5PB,5,8,0.2255,0.2239,19.770
5PB,5,10,0.2080,0.2041,19.770
5PB,6,2,0.2923,0.2978,30.050
5PB,6,4,0.2734,0.2778,30.050
5PB,6,6,0.2533,0.2558,30.050
5PB,6,8,0.2360,0.2365,30.050
5PB,7,2,0.2952,0.3011,43.060
5PB,7,4,0.2773,0.2828,43.060
5PB,7,6,0.2596,0.2643,43.060
5PB,8,2,0.2974,0.3039,59.100
7.5PB,2,2,0.2712,0.2582,3.126
7.5PB,2,4,0.2420,0.2148,3.126
7.5PB,2,6,0.2189,0.1790,3.126
7.5PB,3,2,0.2777,0.2687,6.555
7.5PB,3,4,0.2520,0.2319,6.555
7.5PB,3,6,0.2311,0.2010,6.555
7.5PB,3,8,0.2149,0.1761,6.555
7.5PB,3,10,0.2005,0.1536,6.555
7.5PB,4,2,0.2861,0.2819,12.000
7.5PB,4,4,0.2657,0.2528,12.000
7.5PB,4,6,0.2471,0.2266,12.000
7.5PB,4,8,0.2304,0.2023,12.000
7.5PB,4,10,0.2158,0.1811,12.000
7.5PB,5,2,0.2918,0.2908,19.770
7.5PB,5,4,0.2739,0.2666,19.770
7.5PB,5,6,0.2563,0.2417,19.770
7.5PB,5,8,0.2417,0.2204,19.770
7.5PB,5,10,0.2285,0.2020,19.770
7.5PB,6,2,0.2955,0.2963,30.050
7.5PB,6,4,0.2798,0.2752,30.050
7.5PB,6,6,0.2638,0.2531,30.050
7.5PB,6,8,0.2505,0.2347,30.050
7.5PB,7,2,0.2982,0.3003,43.060
7.5PB,7,4,0.2833,0.2809,43.060
7.5PB,7,6,0.2687,0.2612,43.060
7.5PB,8,2,0.3003,0.3034,59.100
10PB,2,2,0.2803,0.2567,3.126
10PB,2,4,0.2600,0.2162,3.126
10PB,2,6,0.2440,0.1840,3.126
10PB,3,2,0.2847,0.2670,6.555
10PB,3,4,0.2660,0.2319,6.555
10PB,3,6,0.2511,0.2031,6.555
10PB,3,8,0.2387,0.1786,6.555
10PB,3,10,0.2278,0.1565,6.555
10PB,4,2,0.2911,0.2804,12.000
10PB,4,4,0.2759,0.2522,12.000
10PB,4,6,0.2618,0.2263,12.000
10PB,4,8,0.2497,0.2038,12.000
10PB,4,10,0.2388,0.1837,12.000
10PB,5,2,0.2959,0.2905,19.770
10PB,5,4,0.2821,0.2659,19.770
10PB,5,6,0.2686,0.2412,19.770
10PB,5,8,0.2572,0.2211,19.770
10PB,5,10,0.2478,0.2030,19.770
10PB,6,2,0.2988,0.2961,30.050
10PB,6,4,0.2863,0.2747,30.050
10PB,6,6,0.2740,0.2533,30.050
10PB,6,8,0.2637,0.2352,30.050
10PB,7,2,0.3005,0.3000,43.060
10PB,7,4,0.2886,0.2801,43.060
10PB,7,6,0.2776,0.2612,43.060
10PB,8,2,0.3027,0.3035,59.100
