h,V,C,x,y,Y
2.5R,2,2,0.3614,0.3033,3.126
2.5R,2,4,0.4021,0.2900,3.126
2.5R,2,6,0.4390,0.2760,3.126
2.5R,3,2,0.3591,0.3130,6.555
2.5R,3,4,0.4021,0.3076,6.555
2.5R,3,6,0.4409,0.3009,6.555
2.5R,3,8,0.4821,0.2918,6.555
2.5R,3,10,0.5191,0.2811,6.555
2.5R,4,2,0.3461,0.3150,12.000
2.5R,4,4,0.3806,0.3125,12.000
2.5R,4,6,0.4141,0.3085,12.000
2.5R,4,8,0.4472,0.3031,12.000
2.5R,4,10,0.4774,0.2969,12.000
2.5R,4,12,0.5072,0.2897,12.000
2.5R,5,2,0.3360,0.3158,19.770
2.5R,5,4,0.3660,0.3148,19.770
2.5R,5,6,0.3960,0.3130,19.770
2.5R,5,8,0.4252,0.3101,19.770
2.5R,5,10,0.4533,0.3058,19.770
2.5R,5,12,0.4820,0.3002,19.770
2.5R,6,2,0.3318,0.3166,30.050
2.5R,6,4,0.3566,0.3163,30.050
2.5R,6,6,0.3832,0.3158,30.050
2.5R,6,8,0.4065,0.3144,30.050
2.5R,6,10,0.4320,0.3118,30.050
2.5R,7,2,0.3284,0.3170,43.060
2.5R,7,4,0.3499,0.3171,43.060
2.5R,7,6,0.3728,0.3170,43.060
2.5R,7,8,0.3961,0.3160,43.060
2.5R,8,2,0.3236,0.3169,59.100
2.5R,8,4,0.3460,0.3177,59.100
2.5R,8,6,0.3671,0.3175,59.100
5R,2,2,0.3692,0.3111,3.126
5R,2,4,0.4184,0.3032,3.126
5R,2,6,0.4642,0.2934,3.126
5R,3,2,0.3645,0.3190,6.555
5R,3,4,0.4148,0.3190,6.555
5R,3,6,0.4592,0.3168,6.555
5R,3,8,0.5064,0.3114,6.555
5R,3,10,0.5500,0.3024,6.555
5R,4,2,0.3508,0.3200,12.000
5R,4,4,0.3916,0.3223,12.000
5R,4,6,0.4299,0.3226,12.000
5R,4,8,0.4690,0.3209,12.000
5R,4,10,0.5043,0.3176,12.000
5R,4,12,0.5385,0.3129,12.000
5R,4,14,0.5734,0.3057,12.000
5R,5,2,0.3392,0.3192,19.770
5R,5,4,0.3740,0.3220,19.770
5R,5,6,0.4078,0.3238,19.770
5R,5,8,0.4413,0.3240,19.770
5R,5,10,0.4747,0.3227,19.770
5R,5,12,0.5071,0.3194,19.770
5R,6,2,0.3343,0.3190,30.050
5R,6,4,0.3628,0.3221,30.050
5R,6,6,0.3921,0.3244,30.050
5R,6,8,0.4187,0.3251,30.050
5R,6,10,0.4480,0.3250,30.050
5R,7,2,0.3306,0.3190,43.060
5R,7,4,0.3552,0.3222,43.060
5R,7,6,0.3805,0.3244,43.060
5R,7,8,0.4067,0.3256,43.060
5R,8,2,0.3254,0.3186,59.100
5R,8,4,0.3510,0.3224,59.100
7.5R,2,2,0.3751,0.3181,3.126
7.5R,2,4,0.4335,0.3169,3.126
7.5R,3,2,0.3690,0.3248,6.555
7.5R,3,4,0.4240,0.3302,6.555
7.5R,3,6,0.4738,0.3316,6.555
7.5R,3,8,0.5251,0.3297,6.555
7.5R,4,2,0.3538,0.3236,12.000
7.5R,4,4,0.3990,0.3300,12.000
7.5R,4,6,0.4415,0.3340,12.000
7.5R,4,8,0.4850,0.3359,12.000
7.5R,4,10,0.5235,0.3351,12.000
7.5R,4,12,0.5603,0.3321,12.000
7.5R,5,2,0.3425,0.3229,19.770
7.5R,5,4,0.3806,0.3294,19.770
7.5R,5,6,0.4180,0.3348,19.770
7.5R,5,8,0.4563,0.3387,19.770
7.5R,5,10,0.4927,0.3399,19.770
7.5R,5,12,0.5280,0.3389,19.770
7.5R,6,2,0.3381,0.3228,30.050
7.5R,6,4,0.3692,0.3291,30.050
7.5R,6,6,0.4000,0.3340,30.050
7.5R,6,8,0.4318,0.3383,30.050
7.5R,6,10,0.4655,0.3412,30.050
7.5R,7,2,0.3335,0.3220,43.060
7.5R,7,4,0.3611,0.3282,43.060
7.5R,7,6,0.3888,0.3336,43.060
7.5R,7,8,0.4196,0.3382,43.060
7.5R,8,2,0.3277,0.3211,59.100
7.5R,8,4,0.3564,0.3279,59.100
10R,2,2,0.3811,0.3274,3.126
10R,3,2,0.3728,0.3314,6.555
10R,3,4,0.4308,0.3412,6.555
10R,3,6,0.4854,0.3467,6.555
10R,4,2,0.3582,0.3294,12.000
10R,4,4,0.4078,0.3412,12.000
10R,4,6,0.4535,0.3500,12.000
10R,4,8,0.4995,0.3557,12.000
10R,4,10,0.5418,0.3580,12.000
10R,5,2,0.3465,0.3278,19.770
10R,5,4,0.3879,0.3398,19.770
10R,5,6,0.4299,0.3499,19.770
10R,5,8,0.4713,0.3575,19.770
10R,5,10,0.5113,0.3630,19.770
10R,6,2,0.3417,0.3268,30.050
10R,6,4,0.3768,0.3381,30.050
10R,6,6,0.4103,0.3473,30.050
10R,6,8,0.4449,0.3550,30.050
10R,6,10,0.4812,0.3619,30.050
10R,7,2,0.3360,0.3253,43.060
10R,7,4,0.3671,0.3360,43.060
10R,7,6,0.3984,0.3452,43.060
10R,7,8,0.4308,0.3533,43.060
10R,7,10,0.4600,0.3596,43.060
10R,8,2,0.3301,0.3237,59.100
10R,8,4,0.3621,0.3349,59.100
