h,V,C,x,y,Y
2.5RP,2,2,0.3279,0.2754,3.126
2.5RP,2,4,0.3382,0.2496,3.126
2.5RP,2,6,0.3470,0.2259,3.126
2.5RP,3,2,0.3272,0.2861,6.555
2.5RP,3,4,0.3400,0.2624,6.555
2.5RP,3,6,0.3501,0.2425,6.555
2.5RP,3,8,0.3598,0.2233,6.555
2.5RP,3,10,0.3681,0.2054,6.555
2.5RP,4,2,0.3231,0.2951,12.000
2.5RP,4,4,0.3340,0.2770,12.000
2.5RP,4,6,0.3442,0.2595,12.000
2.5RP,4,8,0.3533,0.2438,12.000
2.5RP,4,10,0.3608,0.2301,12.000
2.5RP,4,12,0.3683,0.2162,12.000
2.5RP,5,2,0.3199,0.3019,19.770
2.5RP,5,4,0.3298,0.2869,19.770
2.5RP,5,6,0.3396,0.2718,19.770
2.5RP,5,8,0.3490,0.2570,19.770
2.5RP,5,10,0.3560,0.2452,19.770
2.5RP,6,2,0.3188,0.3048,30.050
2.5RP,6,4,0.3272,0.2929,30.050
2.5RP,6,6,0.3362,0.2799,30.050
2.5RP,6,8,0.3437,0.2688,30.050
2.5RP,6,10,0.3509,0.2578,30.050
2.5RP,7,2,0.3170,0.3076,43.060
2.5RP,7,4,0.3254,0.2971,43.060
2.5RP,7,6,0.3338,0.2854,43.060
2.5RP,7,8,0.3417,0.2745,43.060
2.5RP,8,2,0.3154,0.3100,59.100
2.5RP,8,4,0.3239,0.3000,59.100
2.5RP,8,6,0.3327,0.2898,59.100
5RP,2,2,0.3383,0.2829,3.126
5RP,2,4,0.3558,0.2597,3.126
5RP,2,6,0.3708,0.2380,3.126
5RP,3,2,0.3370,0.2940,6.555
5RP,3,4,0.3586,0.2742,6.555
5RP,3,6,0.3765,0.2569,6.555
5RP,3,8,0.3930,0.2395,6.555
5RP,3,10,0.4073,0.2235,6.555
5RP,4,2,0.3310,0.3010,12.000
5RP,4,4,0.3491,0.2872,12.000
5RP,4,6,0.3671,0.2733,12.000
5RP,4,8,0.3833,0.2600,12.000
5RP,4,10,0.3960,0.2489,12.000
5RP,4,12,0.4104,0.2361,12.000
5RP,5,2,0.3256,0.3065,19.770
5RP,5,4,0.3421,0.2954,19.770
5RP,5,6,0.3585,0.2842,19.770
5RP,5,8,0.3748,0.2729,19.770
5RP,5,10,0.3880,0.2630,19.770
5RP,6,2,0.3232,0.3085,30.050
5RP,6,4,0.3371,0.3001,30.050
5RP,6,6,0.3520,0.2904,30.050
5RP,6,8,0.3648,0.2820,30.050
5RP,6,10,0.3769,0.2738,30.050
5RP,7,2,0.3206,0.3104,43.060
5RP,7,4,0.3332,0.3032,43.060
5RP,7,6,0.3470,0.2949,43.060
5RP,7,8,0.3603,0.2869,43.060
5RP,8,2,0.3180,0.3120,59.100
5RP,8,4,0.3308,0.3052,59.100
5RP,8,6,0.3440,0.2978,59.100
7.5RP,2,2,0.3459,0.2892,3.126
7.5RP,2,4,0.3702,0.2683,3.126
7.5RP,2,6,0.3918,0.2490,3.126
7.5RP,3,2,0.3450,0.3001,6.555
7.5RP,3,4,0.3739,0.2851,6.555
7.5RP,3,6,0.3990,0.2708,6.555
7.5RP,3,8,0.4234,0.2556,6.555
7.5RP,3,10,0.4445,0.2419,6.555
7.5RP,4,2,0.3371,0.3061,12.000
7.5RP,4,4,0.3612,0.2963,12.000
7.5RP,4,6,0.3850,0.2859,12.000
7.5RP,4,8,0.4072,0.2750,12.000
7.5RP,4,10,0.4259,0.2651,12.000
7.5RP,4,12,0.4450,0.2541,12.000
7.5RP,5,2,0.3296,0.3098,19.770
7.5RP,5,4,0.3515,0.3024,19.770
7.5RP,5,6,0.3726,0.2941,19.770
7.5RP,5,8,0.3932,0.2852,19.770
7.5RP,5,10,0.4108,0.2773,19.770
7.5RP,6,2,0.3261,0.3113,30.050
7.5RP,6,4,0.3439,0.3056,30.050
7.5RP,6,6,0.3635,0.2987,30.050
7.5RP,6,8,0.3791,0.2929,30.050
7.5RP,6,10,0.3960,0.2860,30.050
7.5RP,7,2,0.3232,0.3125,43.060
7.5RP,7,4,0.3389,0.3079,43.060
7.5RP,7,6,0.3562,0.3022,43.060
7.5RP,7,8,0.3722,0.2963,43.060
7.5RP,8,2,0.3200,0.3136,59.100
7.5RP,8,4,0.3360,0.3092,59.100
7.5RP,8,6,0.3521,0.3042,59.100
10RP,2,2,0.3532,0.2957,3.126
10RP,2,4,0.3850,0.2778,3.126
10RP,2,6,0.4139,0.2608,3.126
10RP,2,8,0.4428,0.2419,3.126
10RP,3,2,0.3526,0.3068,6.555
10RP,3,4,0.3889,0.2969,6.555
10RP,3,6,0.4218,0.2864,6.555
10RP,3,8,0.4552,0.2741,6.555
10RP,3,10,0.4851,0.2618,6.555
10RP,4,2,0.3417,0.3106,12.000
10RP,4,4,0.3715,0.3042,12.000
10RP,4,6,0.3999,0.2972,12.000
10RP,4,8,0.4282,0.2890,12.000
10RP,4,10,0.4528,0.2811,12.000
10RP,5,2,0.3332,0.3131,19.770
10RP,5,4,0.3594,0.3090,19.770
10RP,5,6,0.3851,0.3039,19.770
10RP,5,8,0.4105,0.2980,19.770
10RP,5,10,0.4332,0.2918,19.770
10RP,6,2,0.3292,0.3141,30.050
10RP,6,4,0.3508,0.3112,30.050
10RP,6,6,0.3740,0.3074,30.050
10RP,6,8,0.3930,0.3038,30.050
10RP,6,10,0.4150,0.2989,30.050
10RP,7,2,0.3258,0.3148,43.060
10RP,7,4,0.3446,0.3125,43.060
10RP,7,6,0.3648,0.3098,43.060
10RP,7,8,0.3851,0.3067,43.060
10RP,8,2,0.3218,0.3152,59.100
10RP,8,4,0.3412,0.3135,59.100
10RP,8,6,0.3600,0.3112,59.100
