h,V,C,x,y,Y
2.5Y,2,2,0.3825,0.3785,3.126
2.5Y,3,2,0.3703,0.3700,6.555
2.5Y,3,4,0.4277,0.4166,6.555
2.5Y,4,2,0.3633,0.3654,12.000
2.5Y,4,4,0.4138,0.4076,12.000
2.5Y,4,6,0.4542,0.4391,12.000
2.5Y,5,2,0.3534,0.3570,19.770
2.5Y,5,4,0.3968,0.3954,19.770
2.5Y,5,6,0.4380,0.4292,19.770
2.5Y,5,8,0.4685,0.4524,19.770
2.5Y,6,2,0.3480,0.3540,30.050
2.5Y,6,4,0.3840,0.3867,30.050
2.5Y,6,6,0.4203,0.4176,30.050
2.5Y,6,8,0.4517,0.4421,30.050
2.5Y,6,10,0.4760,0.4607,30.050
2.5Y,7,2,0.3436,0.3507,43.060
2.5Y,7,4,0.3761,0.3800,43.060
2.5Y,7,6,0.4073,0.4073,43.060
2.5Y,7,8,0.4353,0.4312,43.060
2.5Y,7,10,0.4606,0.4516,43.060
2.5Y,8,2,0.3406,0.3484,59.100
2.5Y,8,4,0.3684,0.3751,59.100
2.5Y,8,6,0.3969,0.4009,59.100
2.5Y,8,8,0.4231,0.4231,59.100
5Y,2,2,0.3757,0.3839,3.126
5Y,3,2,0.3646,0.3748,6.555
5Y,4,2,0.3590,0.3701,12.000
5Y,4,4,0.4069,0.4188,12.000
5Y,5,2,0.3500,0.3620,19.770
5Y,5,4,0.3915,0.4057,19.770
5Y,5,6,0.4302,0.4435,19.770
5Y,6,2,0.3457,0.3580,30.050
5Y,6,4,0.3794,0.3955,30.050
5Y,6,6,0.4140,0.4305,30.050
5Y,6,8,0.4426,0.4588,30.050
5Y,7,2,0.3419,0.3540,43.060
5Y,7,4,0.3718,0.3885,43.060
5Y,7,6,0.4009,0.4198,43.060
5Y,7,8,0.4271,0.4462,43.060
5Y,7,10,0.4509,0.4696,43.060
5Y,8,2,0.3394,0.3518,59.100
5Y,8,4,0.3650,0.3826,59.100
5Y,8,6,0.3913,0.4117,59.100
5Y,8,8,0.4158,0.4378,59.100
5Y,8,10,0.4376,0.4601,59.100
5Y,8,12,0.4562,0.4788,59.100
7.5Y,2,2,0.3660,0.3858,3.126
7.5Y,3,2,0.3589,0.3778,6.555
7.5Y,4,2,0.3542,0.3727,12.000
7.5Y,4,4,0.3982,0.4272,12.000
7.5Y,5,2,0.3470,0.3640,19.770
7.5Y,5,4,0.3850,0.4120,19.770
7.5Y,5,6,0.4199,0.4551,19.770
7.5Y,6,2,0.3431,0.3601,30.050
7.5Y,6,4,0.3745,0.4004,30.050
7.5Y,6,6,0.4060,0.4400,30.050
7.5Y,6,8,0.4321,0.4719,30.050
7.5Y,7,2,0.3396,0.3558,43.060
7.5Y,7,4,0.3677,0.3925,43.060
7.5Y,7,6,0.3943,0.4264,43.060
7.5Y,7,8,0.4184,0.4568,43.060
7.5Y,7,10,0.4400,0.4830,43.060
7.5Y,8,2,0.3379,0.3540,59.100
7.5Y,8,4,0.3622,0.3861,59.100
7.5Y,8,6,0.3862,0.4175,59.100
7.5Y,8,8,0.4088,0.4466,59.100
7.5Y,8,10,0.4283,0.4712,59.100
10Y,2,2,0.3556,0.3848,3.126
10Y,3,2,0.3513,0.3789,6.555
10Y,4,2,0.3476,0.3732,12.000
10Y,4,4,0.3871,0.4321,12.000
10Y,5,2,0.3422,0.3648,19.770
10Y,5,4,0.3762,0.4158,19.770
10Y,5,6,0.4072,0.4621,19.770
10Y,6,2,0.3398,0.3611,30.050
10Y,6,4,0.3679,0.4033,30.050
10Y,6,6,0.3960,0.4452,30.050
10Y,7,2,0.3369,0.3569,43.060
10Y,7,4,0.3624,0.3951,43.060
10Y,7,6,0.3864,0.4305,43.060
10Y,7,8,0.4090,0.4641,43.060
10Y,8,2,0.3359,0.3552,59.100
10Y,8,4,0.3581,0.3883,59.100
10Y,8,6,0.3803,0.4216,59.100
10Y,8,8,0.4008,0.4520,59.100
