h,V,C,x,y,Y
2.5YR,2,2,0.3852,0.3365,3.126
2.5YR,3,2,0.3757,0.3391,6.555
2.5YR,3,4,0.4360,0.3563,6.555
2.5YR,3,6,0.4954,0.3692,6.555
2.5YR,4,2,0.3624,0.3367,12.000
2.5YR,4,4,0.4141,0.3539,12.000
2.5YR,4,6,0.4612,0.3674,12.000
2.5YR,4,8,0.5071,0.3777,12.000
2.5YR,4,10,0.5475,0.3856,12.000
2.5YR,5,2,0.3506,0.3337,19.770
2.5YR,5,4,0.3925,0.3494,19.770
2.5YR,5,6,0.4365,0.3640,19.770
2.5YR,5,8,0.4795,0.3758,19.770
2.5YR,5,10,0.5175,0.3844,19.770
2.5YR,6,2,0.3453,0.3321,30.050
2.5YR,6,4,0.3806,0.3467,30.050
2.5YR,6,6,0.4180,0.3600,30.050
2.5YR,6,8,0.4533,0.3708,30.050
2.5YR,6,10,0.4891,0.3806,30.050
2.5YR,6,12,0.5215,0.3887,30.050
2.5YR,7,2,0.3392,0.3298,43.060
2.5YR,7,4,0.3715,0.3439,43.060
2.5YR,7,6,0.4053,0.3570,43.060
2.5YR,7,8,0.4371,0.3679,43.060
2.5YR,7,10,0.4671,0.3768,43.060
2.5YR,8,2,0.3334,0.3276,59.100
2.5YR,8,4,0.3667,0.3429,59.100
5YR,2,2,0.3880,0.3476,3.126
5YR,3,2,0.3771,0.3476,6.555
5YR,3,4,0.4376,0.3715,6.555
5YR,4,2,0.3651,0.3442,12.000
5YR,4,4,0.4187,0.3679,12.000
5YR,4,6,0.4651,0.3859,12.000
5YR,4,8,0.5070,0.3994,12.000
5YR,5,2,0.3530,0.3395,19.770
5YR,5,4,0.3968,0.3614,19.770
5YR,5,6,0.4420,0.3808,19.770
5YR,5,8,0.4830,0.3960,19.770
5YR,5,10,0.5161,0.4064,19.770
5YR,6,2,0.3474,0.3373,30.050
5YR,6,4,0.3840,0.3564,30.050
5YR,6,6,0.4229,0.3750,30.050
5YR,6,8,0.4592,0.3900,30.050
5YR,6,10,0.4921,0.4022,30.050
5YR,6,12,0.5199,0.4119,30.050
5YR,7,2,0.3421,0.3349,43.060
5YR,7,4,0.3750,0.3530,43.060
5YR,7,6,0.4091,0.3701,43.060
5YR,7,8,0.4402,0.3842,43.060
5YR,7,10,0.4711,0.3972,43.060
5YR,8,2,0.3373,0.3330,59.100
5YR,8,4,0.3690,0.3510,59.100
7.5YR,2,2,0.3889,0.3590,3.126
7.5YR,3,2,0.3771,0.3549,6.555
7.5YR,3,4,0.4378,0.3865,6.555
7.5YR,4,2,0.3662,0.3504,12.000
7.5YR,4,4,0.4208,0.3809,12.000
7.5YR,4,6,0.4655,0.4029,12.000
7.5YR,4,8,0.5038,0.4204,12.000
7.5YR,5,2,0.3540,0.3445,19.770
7.5YR,5,4,0.3991,0.3714,19.770
7.5YR,5,6,0.4440,0.3954,19.770
7.5YR,5,8,0.4820,0.4141,19.770
7.5YR,5,10,0.5108,0.4276,19.770
7.5YR,6,2,0.3487,0.3421,30.050
7.5YR,6,4,0.3860,0.3652,30.050
7.5YR,6,6,0.4242,0.3876,30.050
7.5YR,6,8,0.4596,0.4064,30.050
7.5YR,6,10,0.4904,0.4220,30.050
7.5YR,6,12,0.5145,0.4331,30.050
7.5YR,7,2,0.3437,0.3397,43.060
7.5YR,7,4,0.3772,0.3613,43.060
7.5YR,7,6,0.4107,0.3820,43.060
7.5YR,7,8,0.4415,0.3996,43.060
7.5YR,7,10,0.4704,0.4151,43.060
7.5YR,8,2,0.3395,0.3379,59.100
7.5YR,8,4,0.3699,0.3586,59.100
7.5YR,8,6,0.4000,0.3770,59.100
10YR,2,2,0.3872,0.3688,3.126
10YR,3,2,0.3747,0.3630,6.555
10YR,3,4,0.4341,0.4018,6.555
10YR,4,2,0.3660,0.3590,12.000
10YR,4,4,0.4189,0.3948,12.000
10YR,4,6,0.4618,0.4213,12.000
10YR,5,2,0.3546,0.3514,19.770
10YR,5,4,0.3995,0.3840,19.770
10YR,5,6,0.4428,0.4128,19.770
10YR,5,8,0.4770,0.4338,19.770
10YR,6,2,0.3491,0.3483,30.050
10YR,6,4,0.3861,0.3767,30.050
10YR,6,6,0.4240,0.4030,30.050
10YR,6,8,0.4570,0.4249,30.050
10YR,6,10,0.4843,0.4416,30.050
10YR,7,2,0.3443,0.3454,43.060
10YR,7,4,0.3778,0.3719,43.060
10YR,7,6,0.4102,0.3960,43.060
10YR,7,8,0.4399,0.4164,43.060
10YR,7,10,0.4667,0.4335,43.060
10YR,8,2,0.3407,0.3434,59.100
10YR,8,4,0.3701,0.3674,59.100
10YR,8,6,0.3994,0.3896,59.100
