H,V,C,x,y,Y
2.5B,0.2,2,0.097,0.177,0.237
2.5B,0.2,4,0.039,0.128,0.237
2.5B,0.4,2,0.169,0.236,0.467
2.5B,0.4,4,0.087,0.172,0.467
2.5B,0.4,6,0.048,0.134,0.467
2.5B,0.6,2,0.202,0.26,0.699
2.5B,0.6,4,0.123,0.202,0.699
2.5B,0.6,6,0.071,0.157,0.699
2.5B,0.6,8,0.017,0.111,0.699
2.5B,0.8,2,0.22,0.271,0.943
2.5B,0.8,4,0.149,0.222,0.943
2.5B,0.8,6,0.094,0.181,0.943
2.5B,0.8,8,0.048,0.147,0.943
2.5B,1,2,0.2322,0.2781,1.21
2.5B,1,4,0.1649,0.2324,1.21
2.5B,1,6,0.1118,0.1908,1.21
2.5B,1,8,0.071,0.155,1.21
2.5B,2,2,0.2578,0.294,3.126
2.5B,2,4,0.206,0.2649,3.126
2.5B,2,6,0.1621,0.2358,3.126
2.5B,2,8,0.123,0.2076,3.126
2.5B,2,10,0.0911,0.1828,3.126
2.5B,2,12,0.067,0.165,3.126
2.5B,3,2,0.2636,0.2983,6.55
2.5B,3,4,0.2183,0.2748,6.55
2.5B,3,6,0.1826,0.2536,6.55
2.5B,3,8,0.1511,0.2331,6.55
2.5B,3,10,0.122,0.2132,6.55
2.5B,3,12,0.0989,0.1963,6.55
2.5B,3,14,0.08,0.18,6.55
2.5B,3,16,0.065,0.17,6.55
2.5B,4,2,0.2727,0.3038,12
2.5B,4,4,0.236,0.2872,12
2.5B,4,6,0.2048,0.2708,12
2.5B,4,8,0.1737,0.2524,12
2.5B,4,10,0.1463,0.2354,12
2.5B,4,12,0.1247,0.2209,12
2.5B,4,14,0.1027,0.2057,12
2.5B,4,16,0.09,0.1973,12
2.5B,4,18,0.073,0.184,12
2.5B,4,20,0.062,0.177,12
2.5B,5,2,0.2791,0.3071,19.77
2.5B,5,4,0.2492,0.2954,19.77
2.5B,5,6,0.221,0.2823,19.77
2.5B,5,8,0.1947,0.2687,19.77
2.5B,5,10,0.1697,0.2549,19.77
2.5B,5,12,0.1461,0.2406,19.77
2.5B,5,14,0.1283,0.2292,19.77
2.5B,5,16,0.109,0.2166,19.77
2.5B,5,18,0.094,0.206,19.77
2.5B,5,20,0.077,0.194,19.77
2.5B,6,2,0.2835,0.3097,30.03
2.5B,6,4,0.2571,0.3008,30.03
2.5B,6,6,0.2312,0.2899,30.03
2.5B,6,8,0.208,0.2789,30.03
2.5B,6,10,0.1879,0.2682,30.03
2.5B,6,12,0.166,0.2561,30.03
2.5B,6,14,0.148,0.2459,30.03
2.5B,6,16,0.1294,0.2348,30.03
2.5B,6,18,0.114,0.226,30.03
2.5B,6,20,0.099,0.216,30.03
2.5B,6,22,0.085,0.205,30.03
2.5B,7,2,0.2867,0.311,43.06
2.5B,7,4,0.2629,0.3038,43.06
2.5B,7,6,0.2418,0.296,43.06
2.5B,7,8,0.2208,0.2871,43.06
2.5B,7,10,0.1994,0.2775,43.06
2.5B,7,12,0.1797,0.2672,43.06
2.5B,7,14,0.1624,0.2581,43.06
2.5B,7,16,0.1435,0.2472,43.06
2.5B,7,18,0.13,0.239,43.06
2.5B,7,20,0.117,0.231,43.06
2.5B,7,22,0.104,0.222,43.06
2.5B,8,2,0.2897,0.3124,59.1
2.5B,8,4,0.2668,0.3067,59.1
2.5B,8,6,0.2462,0.3,59.1
2.5B,8,8,0.2264,0.2923,59.1
2.5B,8,10,0.2066,0.2839,59.1
2.5B,8,12,0.1877,0.2752,59.1
2.5B,8,14,0.172,0.266,59.1
2.5B,8,16,0.152,0.256,59.1
2.5B,8,18,0.137,0.245,59.1
2.5B,8,20,0.123,0.235,59.1
2.5B,9,2,0.2909,0.3125,78.66
2.5B,9,4,0.268,0.3073,78.66
2.5B,9,6,0.247,0.302,78.66
2.5B,9,8,0.228,0.296,78.66
