H,V,C,x,y,Y
2.5BG,0.2,2,0.068,0.332,0.237
2.5BG,0.2,4,-0.1,0.325,0.237
2.5BG,0.4,2,0.196,0.332,0.467
2.5BG,0.4,4,0.008,0.334,0.467
2.5BG,0.6,2,0.236,0.334,0.699
2.5BG,0.6,4,0.117,0.341,0.699
2.5BG,0.6,6,-0.036,0.334,0.699
2.5BG,0.8,2,0.253,0.332,0.943
2.5BG,0.8,4,0.163,0.342,0.943
2.5BG,0.8,6,0.07,0.341,0.943
2.5BG,0.8,8,-0.062,0.33,0.943
2.5BG,1,2,0.26,0.3289,1.21
2.5BG,1,4,0.1883,0.3406,1.21
2.5BG,1,6,0.1169,0.3452,1.21
2.5BG,1,8,0.0476,0.3458,1.21
2.5BG,1,10,-0.017,0.344,1.21
2.5BG,2,2,0.2765,0.3271,3.126
2.5BG,2,4,0.2343,0.3378,3.126
2.5BG,2,6,0.1971,0.3452,3.126
2.5BG,2,8,0.1557,0.3517,3.126
2.5BG,2,10,0.119,0.3551,3.126
2.5BG,2,12,0.0851,0.3576,3.126
2.5BG,2,14,0.0555,0.3588,3.126
2.5BG,2,16,0.029,0.359,3.126
2.5BG,2,18,-0.002,0.36,3.126
2.5BG,3,2,0.2799,0.3271,6.55
2.5BG,3,4,0.2437,0.3386,6.55
2.5BG,3,6,0.2132,0.3468,6.55
2.5BG,3,8,0.1845,0.3531,6.55
2.5BG,3,10,0.1552,0.358,6.55
2.5BG,3,12,0.1288,0.362,6.55
2.5BG,3,14,0.1051,0.3648,6.55
2.5BG,3,16,0.0843,0.3667,6.55
2.5BG,3,18,0.0648,0.3682,6.55
2.5BG,3,20,0.0482,0.3695,6.55
2.5BG,3,22,0.032,0.37,6.55
2.5BG,3,24,0.012,0.371,6.55
2.5BG,4,2,0.284,0.327,12
2.5BG,4,4,0.2552,0.3375,12
2.5BG,4,6,0.2278,0.3463,12
2.5BG,4,8,0.2006,0.354,12
2.5BG,4,10,0.1738,0.36,12
2.5BG,4,12,0.1492,0.3649,12
2.5BG,4,14,0.1283,0.3688,12
2.5BG,4,16,0.1102,0.372,12
2.5BG,4,18,0.0915,0.3754,12
2.5BG,4,20,0.0768,0.3773,12
2.5BG,4,22,0.0636,0.3788,12
2.5BG,4,24,0.051,0.38,12
2.5BG,4,26,0.038,0.382,12
2.5BG,4,28,0.025,0.383,12
2.5BG,5,2,0.288,0.327,19.77
2.5BG,5,4,0.2659,0.3369,19.77
2.5BG,5,6,0.2448,0.3452,19.77
2.5BG,5,8,0.2205,0.3537,19.77
2.5BG,5,10,0.198,0.3606,19.77
2.5BG,5,12,0.1735,0.3668,19.77
2.5BG,5,14,0.1559,0.3708,19.77
2.5BG,5,16,0.1348,0.375,19.77
2.5BG,5,18,0.1165,0.3785,19.77
2.5BG,5,20,0.1005,0.3814,19.77
2.5BG,5,22,0.0861,0.3832,19.77
2.5BG,5,24,0.0738,0.3851,19.77
2.5BG,5,26,0.064,0.386,19.77
2.5BG,5,28,0.053,0.388,19.77
2.5BG,5,30,0.042,0.389,19.77
2.5BG,5,32,0.027,0.391,19.77
2.5BG,6,2,0.2902,0.3268,30.03
2.5BG,6,4,0.2702,0.3369,30.03
2.5BG,6,6,0.2526,0.3448,30.03
2.5BG,6,8,0.2332,0.3522,30.03
2.5BG,6,10,0.2148,0.3584,30.03
2.5BG,6,12,0.1954,0.3645,30.03
2.5BG,6,14,0.1779,0.3699,30.03
2.5BG,6,16,0.16,0.3748,30.03
2.5BG,6,18,0.1428,0.379,30.03
2.5BG,6,20,0.1269,0.3829,30.03
2.5BG,6,22,0.112,0.386,30.03
2.5BG,6,24,0.096,0.389,30.03
2.5BG,6,26,0.083,0.392,30.03
2.5BG,6,28,0.074,0.394,30.03
2.5BG,6,30,0.062,0.397,30.03
2.5BG,6,32,0.05,0.398,30.03
2.5BG,7,2,0.2927,0.3269,43.06
2.5BG,7,4,0.2764,0.3354,43.06
2.5BG,7,6,0.2608,0.343,43.06
2.5BG,7,8,0.2439,0.3508,43.06
2.5BG,7,10,0.2264,0.3576,43.06
2.5BG,7,12,0.2102,0.3636,43.06
2.5BG,7,14,0.1932,0.3694,43.06
2.5BG,7,16,0.1788,0.3739,43.06
2.5BG,7,18,0.1626,0.3788,43.06
2.5BG,7,20,0.149,0.3827,43.06
2.5BG,7,22,0.1334,0.387,43.06
2.5BG,7,24,0.122,0.39,43.06
2.5BG,7,26,0.111,0.392,43.06
2.5BG,7,28,0.099,0.394,43.06
2.5BG,7,30,0.088,0.397,43.06
2.5BG,7,32,0.079,0.398,43.06
2.5BG,8,2,0.294,0.3268,59.1
2.5BG,8,4,0.2791,0.3351,59.1
2.5BG,8,6,0.2647,0.3429,59.1
2.5BG,8,8,0.25,0.35,59.1
2.5BG,8,10,0.2352,0.3566,59.1
2.5BG,8,12,0.2196,0.363,59.1
2.5BG,8,14,0.2057,0.3681,59.1
2.5BG,8,16,0.1915,0.3732,59.1
2.5BG,8,18,0.1759,0.3782,59.1
2.5BG,8,20,0.162,0.383,59.1
2.5BG,8,22,0.148,0.387,59.1
2.5BG,8,24,0.132,0.392,59.1
2.5BG,8,26,0.116,0.396,59.1
2.5BG,9,2,0.2947,0.3267,78.66
2.5BG,9,4,0.2805,0.3349,78.66
2.5BG,9,6,0.2652,0.3433,78.66
2.5BG,9,8,0.2509,0.3507,78.66
2.5BG,9,10,0.2382,0.3568,78.66
2.5BG,9,12,0.222,0.364,78.66
2.5BG,9,14,0.208,0.37,78.66
2.5BG,9,16,0.194,0.376,78.66
2.5BG,9,18,0.178,0.382,78.66
2.5BG,9,20,0.166,0.386,78.66
2.5BG,9,22,0.152,0.391,78.66
2.5BG,10,2,0.294,0.327,102.57
2.5BG,10,4,0.28,0.335,102.57
2.5BG,10,6,0.265,0.343,102.57
2.5BG,10,8,0.251,0.35,102.57
2.5BG,10,10,0.241,0.357,102.57
2.5BG,10,12,0.227,0.362,102.57
2.5BG,10,14,0.213,0.368,102.57
5BG,0.2,2,0.066,0.261,0.237
5BG,0.2,4,-0.048,0.223,0.237
5BG,0.4,2,0.18,0.298,0.467
5BG,0.4,4,0.031,0.259,0.467
5BG,0.6,2,0.221,0.311,0.699
5BG,0.6,4,0.112,0.284,0.699
5BG,0.6,6,0.009,0.243,0.699
