H,V,C,x,y,Y
2.5G,0.2,2,0.144,0.584,0.237
2.5G,0.2,4,-0.235,0.891,0.237
2.5G,0.4,2,0.258,0.423,0.467
2.5G,0.4,4,0.005,0.743,0.467
2.5G,0.6,2,0.281,0.388,0.699
2.5G,0.6,4,0.175,0.561,0.699
2.5G,0.6,6,-0.143,0.889,0.699
2.5G,0.8,2,0.287,0.371,0.943
2.5G,0.8,4,0.225,0.488,0.943
2.5G,0.8,6,0.102,0.66,0.943
2.5G,0.8,8,-0.213,0.967,0.943
2.5G,1,2,0.291,0.3634,1.21
2.5G,1,4,0.2454,0.4489,1.21
2.5G,1,6,0.1711,0.5619,1.21
2.5G,1,8,0.062,0.6896,1.21
2.5G,1,10,-0.022,0.776,1.21
2.5G,2,2,0.2978,0.3507,3.126
2.5G,2,4,0.2763,0.3998,3.126
2.5G,2,6,0.2493,0.4522,3.126
2.5G,2,8,0.2192,0.5042,3.126
2.5G,2,10,0.1773,0.5698,3.126
2.5G,2,12,0.1307,0.6308,3.126
2.5G,2,14,0.082,0.686,3.126
2.5G,2,16,0.0329,0.7358,3.126
2.5G,2,18,-0.02,0.788,3.126
2.5G,3,2,0.2999,0.35,6.55
2.5G,3,4,0.2836,0.3915,6.55
2.5G,3,6,0.2642,0.4342,6.55
2.5G,3,8,0.2435,0.4752,6.55
2.5G,3,10,0.217,0.5211,6.55
2.5G,3,12,0.1902,0.5642,6.55
2.5G,3,14,0.1626,0.6052,6.55
2.5G,3,16,0.1341,0.642,6.55
2.5G,3,18,0.1049,0.6766,6.55
2.5G,3,20,0.072,0.7127,6.55
2.5G,3,22,0.039,0.7468,6.55
2.5G,3,24,0.009,0.776,6.55
2.5G,4,2,0.3012,0.347,12
2.5G,4,4,0.2891,0.3821,12
2.5G,4,6,0.2735,0.4215,12
2.5G,4,8,0.2561,0.4597,12
2.5G,4,10,0.2355,0.5006,12
2.5G,4,12,0.2128,0.5425,12
2.5G,4,14,0.1909,0.5779,12
2.5G,4,16,0.1682,0.6111,12
2.5G,4,18,0.1446,0.6431,12
2.5G,4,20,0.123,0.6706,12
2.5G,4,22,0.1009,0.6975,12
2.5G,4,24,0.076,0.725,12
2.5G,4,26,0.0528,0.7502,12
2.5G,4,28,0.028,0.78,12
2.5G,4,30,-0.005,0.816,12
2.5G,5,2,0.303,0.3445,19.77
2.5G,5,4,0.2943,0.3735,19.77
2.5G,5,6,0.2841,0.4045,19.77
2.5G,5,8,0.271,0.438,19.77
2.5G,5,10,0.2565,0.4705,19.77
2.5G,5,12,0.2385,0.5071,19.77
2.5G,5,14,0.2211,0.5411,19.77
2.5G,5,16,0.2005,0.5759,19.77
2.5G,5,18,0.1782,0.6095,19.77
2.5G,5,20,0.1579,0.6392,19.77
2.5G,5,22,0.1377,0.6674,19.77
2.5G,5,24,0.1188,0.6918,19.77
2.5G,5,26,0.0992,0.7155,19.77
2.5G,5,28,0.0794,0.7385,19.77
2.5G,5,30,0.055,0.766,19.77
2.5G,5,32,0.034,0.789,19.77
2.5G,6,2,0.3039,0.3437,30.03
2.5G,6,4,0.2967,0.3695,30.03
2.5G,6,6,0.2892,0.3963,30.03
2.5G,6,8,0.2799,0.4239,30.03
2.5G,6,10,0.269,0.453,30.03
2.5G,6,12,0.2574,0.4814,30.03
2.5G,6,14,0.2426,0.5133,30.03
2.5G,6,16,0.2278,0.543,30.03
2.5G,6,18,0.2102,0.5737,30.03
2.5G,6,20,0.1922,0.6035,30.03
2.5G,6,22,0.1739,0.6318,30.03
2.5G,6,24,0.1536,0.6605,30.03
2.5G,6,26,0.134,0.6871,30.03
2.5G,6,28,0.1145,0.7122,30.03
2.5G,6,30,0.092,0.738,30.03
2.5G,6,32,0.069,0.764,30.03
2.5G,6,34,0.047,0.789,30.03
2.5G,7,2,0.3047,0.3413,43.06
2.5G,7,4,0.2992,0.3644,43.06
2.5G,7,6,0.2933,0.3873,43.06
2.5G,7,8,0.2861,0.4129,43.06
2.5G,7,10,0.2775,0.4395,43.06
2.5G,7,12,0.2672,0.4667,43.06
2.5G,7,14,0.2568,0.4931,43.06
2.5G,7,16,0.2448,0.5203,43.06
2.5G,7,18,0.2328,0.5467,43.06
2.5G,7,20,0.2181,0.5744,43.06
2.5G,7,22,0.2029,0.6017,43.06
2.5G,7,24,0.1875,0.6265,43.06
2.5G,7,26,0.1689,0.6549,43.06
2.5G,7,28,0.149,0.681,43.06
2.5G,7,30,0.126,0.709,43.06
2.5G,7,32,0.106,0.733,43.06
2.5G,7,34,0.081,0.759,43.06
2.5G,8,2,0.3053,0.3404,59.1
2.5G,8,4,0.3009,0.3614,59.1
2.5G,8,6,0.2952,0.3851,59.1
2.5G,8,8,0.2896,0.4065,59.1
2.5G,8,10,0.2829,0.4301,59.1
2.5G,8,12,0.2743,0.4554,59.1
2.5G,8,14,0.2661,0.478,59.1
2.5G,8,16,0.2563,0.5045,59.1
2.5G,8,18,0.2451,0.5309,59.1
2.5G,8,20,0.2339,0.5561,59.1
2.5G,8,22,0.2221,0.5799,59.1
2.5G,8,24,0.2091,0.6033,59.1
2.5G,8,26,0.196,0.622,59.1
2.5G,8,28,0.18,0.647,59.1
2.5G,8,30,0.163,0.67,59.1
2.5G,8,32,0.144,0.692,59.1
2.5G,9,2,0.3058,0.34,78.66
2.5G,9,4,0.3018,0.3606,78.66
2.5G,9,6,0.2966,0.3846,78.66
2.5G,9,8,0.2912,0.4054,78.66
2.5G,9,10,0.2851,0.4275,78.66
2.5G,9,12,0.2786,0.4491,78.66
2.5G,9,14,0.2711,0.4726,78.66
2.5G,9,16,0.263,0.4966,78.66
2.5G,9,18,0.253,0.525,78.66
2.5G,9,20,0.242,0.552,78.66
2.5G,9,22,0.23,0.576,78.66
2.5G,9,24,0.219,0.599,78.66
2.5G,9,26,0.206,0.619,78.66
2.5G,9,28,0.192,0.643,78.66
2.5G,10,2,0.306,0.342,102.57
2.5G,10,4,0.303,0.361,102.57
2.5G,10,6,0.298,0.385,102.57
2.5G,10,8,0.293,0.404,102.57
2.5G,10,10,0.286,0.427,102.57
2.5G,10,12,0.282,0.444,102.57
2.5G,10,14,0.276,0.467,102.57
2.5G,10,16,0.27,0.49,102.57
2.5G,10,18,0.262,0.517,102.57
2.5G,10,20,0.254,0.543,102.57
2.5G,10,22,0.248,0.563,102.57
5G,0.2,2,0.117,0.516,0.237
5G,0.2,4,-0.209,0.719,0.237
5G,0.4,2,0.239,0.399,0.467
5G,0.4,4,-0.011,0.604,0.467
5G,0.6,2,0.27,0.376,0.699
5G,0.6,4,0.152,0.493,0.699
5G,0.6,6,-0.128,0.682,0.699
5G,0.8,2,0.28,0.363,0.943
5G,0.8,4,0.205,0.447,0.943
5G,0.8,6,0.082,0.553,0.943
5G,0.8,8,-0.185,0.737,0.943
5G,1,2,0.2833,0.3564,1.21
5G,1,4,0.229,0.4218,1.21
5G,1,6,0.1468,0.4996,1.21
5G,1,8,0.0559,0.571,1.21
5G,1,10,-0.02,0.62,1.21
5G,2,2,0.2918,0.345,3.126
5G,2,4,0.264,0.3845,3.126
5G,2,6,0.2318,0.4231,3.126
5G,2,8,0.1979,0.4583,3.126
5G,2,10,0.156,0.4981,3.126
5G,2,12,0.112,0.5358,3.126
5G,2,14,0.0688,0.5691,3.126
5G,2,16,0.0277,0.5986,3.126
5G,2,18,-0.015,0.625,3.126
5G,3,2,0.2935,0.3439,6.55
5G,3,4,0.2711,0.378,6.55
5G,3,6,0.2471,0.41,6.55
5G,3,8,0.2228,0.438,6.55
5G,3,10,0.1935,0.4682,6.55
5G,3,12,0.166,0.4948,6.55
5G,3,14,0.1382,0.5197,6.55
5G,3,16,0.112,0.5414,6.55
5G,3,18,0.0882,0.5605,6.55
5G,3,20,0.062,0.5802,6.55
5G,3,22,0.034,0.6011,6.55
5G,3,24,0.004,0.622,6.55
5G,4,2,0.2959,0.3417,12
5G,4,4,0.2781,0.3704,12
5G,4,6,0.2581,0.3992,12
5G,4,8,0.2359,0.4266,12
5G,4,10,0.2115,0.4532,12
5G,4,12,0.1843,0.4807,12
5G,4,14,0.1627,0.5015,12
5G,4,16,0.1402,0.5214,12
5G,4,18,0.1188,0.54,12
5G,4,20,0.1018,0.5543,12
5G,4,22,0.0841,0.5684,12
5G,4,24,0.0614,0.5857,12
5G,4,26,0.0407,0.601,12
5G,4,28,0.02,0.618,12
5G,4,30,-0.003,0.632,12
5G,5,2,0.2978,0.3392,19.77
5G,5,4,0.2841,0.3628,19.77
5G,5,6,0.269,0.386,19.77
5G,5,8,0.2511,0.4107,19.77
5G,5,10,0.2329,0.4331,19.77
5G,5,12,0.2104,0.4578,19.77
5G,5,14,0.1912,0.4773,19.77
5G,5,16,0.1695,0.4981,19.77
5G,5,18,0.1489,0.5171,19.77
5G,5,20,0.1318,0.5321,19.77
5G,5,22,0.1144,0.5463,19.77
5G,5,24,0.0953,0.5628,19.77
5G,5,26,0.0784,0.5761,19.77
5G,5,28,0.0609,0.5898,19.77
5G,5,30,0.04,0.605,19.77
5G,5,32,0.02,0.622,19.77
5G,6,2,0.2988,0.3382,30.03
5G,6,4,0.2868,0.3595,30.03
5G,6,6,0.2748,0.3795,30.03
5G,6,8,0.2612,0.399,30.03
5G,6,10,0.2466,0.4181,30.03
5G,6,12,0.2293,0.439,30.03
5G,6,14,0.213,0.4571,30.03
5G,6,16,0.196,0.4751,30.03
5G,6,18,0.1785,0.4924,30.03
5G,6,20,0.1609,0.5091,30.03
5G,6,22,0.1432,0.5252,30.03
5G,6,24,0.1252,0.5408,30.03
5G,6,26,0.1079,0.556,30.03
5G,6,28,0.0908,0.5695,30.03
