H,V,C,x,y,Y
2.5GY,0.2,2,0.713,1.414,0.237
2.5GY,0.4,2,0.423,0.59,0.467
2.5GY,0.4,4,0.735,1.82,0.467
2.5GY,0.6,2,0.377,0.468,0.699
2.5GY,0.6,4,0.603,1.169,0.699
2.5GY,0.8,2,0.363,0.425,0.943
2.5GY,0.8,4,0.556,0.907,0.943
2.5GY,1,2,0.354,0.4088,1.21
2.5GY,1,4,0.439,0.615,1.21
2.5GY,1,6,0.48,0.723,1.21
2.5GY,2,2,0.3421,0.3803,3.126
2.5GY,2,4,0.3881,0.4752,3.126
2.5GY,2,6,0.434,0.59,3.126
2.5GY,2,8,0.476,0.716,3.126
2.5GY,3,2,0.3412,0.3768,6.55
2.5GY,3,4,0.3772,0.4484,6.55
2.5GY,3,6,0.4069,0.511,6.55
2.5GY,3,8,0.432,0.576,6.55
2.5GY,3,10,0.455,0.638,6.55
2.5GY,4,2,0.3382,0.3706,12
2.5GY,4,4,0.3708,0.4329,12
2.5GY,4,6,0.3968,0.4857,12
2.5GY,4,8,0.4174,0.53,12
2.5GY,4,10,0.433,0.568,12
2.5GY,4,12,0.443,0.594,12
2.5GY,5,2,0.3352,0.3636,19.77
2.5GY,5,4,0.3621,0.4143,19.77
2.5GY,5,6,0.3879,0.4646,19.77
2.5GY,5,8,0.4088,0.5068,19.77
2.5GY,5,10,0.4224,0.5369,19.77
2.5GY,5,12,0.4333,0.5602,19.77
2.5GY,5,14,0.44,0.58,19.77
2.5GY,6,2,0.3342,0.3607,30.03
2.5GY,6,4,0.3572,0.4038,30.03
2.5GY,6,6,0.3799,0.447,30.03
2.5GY,6,8,0.4006,0.4885,30.03
2.5GY,6,10,0.4159,0.519,30.03
2.5GY,6,12,0.4269,0.5414,30.03
2.5GY,6,14,0.4354,0.5594,30.03
2.5GY,6,16,0.439,0.568,30.03
2.5GY,7,2,0.3328,0.3569,43.06
2.5GY,7,4,0.3534,0.3953,43.06
2.5GY,7,6,0.3728,0.4316,43.06
2.5GY,7,8,0.3919,0.4684,43.06
2.5GY,7,10,0.4091,0.503,43.06
2.5GY,7,12,0.4213,0.527,43.06
2.5GY,7,14,0.4309,0.5459,43.06
2.5GY,7,16,0.4366,0.5578,43.06
2.5GY,7,18,0.439,0.564,43.06
2.5GY,8,2,0.3327,0.3555,59.1
2.5GY,8,4,0.3504,0.3887,59.1
