H,V,C,x,y,Y
2.5P,0.2,2,0.25,0.127,0.237
2.5P,0.2,4,0.241,0.09,0.237
2.5P,0.2,6,0.236,0.067,0.237
2.5P,0.2,8,0.232,0.052,0.237
2.5P,0.2,10,0.231,0.043,0.237
2.5P,0.2,12,0.229,0.035,0.237
2.5P,0.2,14,0.228,0.028,0.237
2.5P,0.2,16,0.227,0.022,0.237
2.5P,0.2,18,0.226,0.016,0.237
2.5P,0.4,2,0.259,0.177,0.467
2.5P,0.4,4,0.246,0.134,0.467
2.5P,0.4,6,0.238,0.104,0.467
2.5P,0.4,8,0.233,0.082,0.467
2.5P,0.4,10,0.23,0.064,0.467
2.5P,0.4,12,0.227,0.054,0.467
2.5P,0.4,14,0.226,0.045,0.467
2.5P,0.4,16,0.224,0.038,0.467
2.5P,0.4,18,0.223,0.031,0.467
2.5P,0.4,20,0.222,0.026,0.467
2.5P,0.4,22,0.22,0.02,0.467
2.5P,0.4,24,0.219,0.016,0.467
2.5P,0.4,26,0.218,0.01,0.467
2.5P,0.6,2,0.272,0.205,0.699
2.5P,0.6,4,0.258,0.16,0.699
2.5P,0.6,6,0.25,0.129,0.699
2.5P,0.6,8,0.244,0.104,0.699
2.5P,0.6,10,0.24,0.088,0.699
2.5P,0.6,12,0.238,0.075,0.699
2.5P,0.6,14,0.235,0.06,0.699
2.5P,0.6,16,0.233,0.053,0.699
2.5P,0.6,18,0.232,0.044,0.699
2.5P,0.6,20,0.23,0.038,0.699
2.5P,0.6,22,0.229,0.032,0.699
2.5P,0.6,24,0.228,0.027,0.699
2.5P,0.6,26,0.227,0.021,0.699
2.5P,0.6,28,0.226,0.014,0.699
2.5P,0.8,2,0.277,0.22,0.943
2.5P,0.8,4,0.264,0.174,0.943
2.5P,0.8,6,0.255,0.144,0.943
2.5P,0.8,8,0.248,0.12,0.943
2.5P,0.8,10,0.245,0.105,0.943
2.5P,0.8,12,0.242,0.09,0.943
2.5P,0.8,14,0.238,0.076,0.943
2.5P,0.8,16,0.236,0.064,0.943
2.5P,0.8,18,0.235,0.057,0.943
2.5P,0.8,20,0.233,0.05,0.943
2.5P,0.8,22,0.232,0.044,0.943
2.5P,0.8,24,0.231,0.038,0.943
2.5P,0.8,26,0.23,0.034,0.943
2.5P,0.8,28,0.228,0.028,0.943
2.5P,0.8,30,0.228,0.026,0.943
2.5P,0.8,32,0.227,0.022,0.943
2.5P,0.8,34,0.227,0.019,0.943
2.5P,0.8,36,0.227,0.015,0.943
2.5P,1,2,0.2808,0.2296,1.21
2.5P,1,4,0.2668,0.1874,1.21
2.5P,1,6,0.257,0.1559,1.21
2.5P,1,8,0.2496,0.1303,1.21
2.5P,1,10,0.2441,0.1112,1.21
2.5P,1,12,0.2394,0.094,1.21
2.5P,1,14,0.2361,0.081,1.21
2.5P,1,16,0.2331,0.0696,1.21
2.5P,1,18,0.2312,0.0618,1.21
2.5P,1,20,0.2295,0.0542,1.21
2.5P,1,22,0.2279,0.0473,1.21
2.5P,1,24,0.2266,0.0418,1.21
2.5P,1,26,0.2251,0.0355,1.21
2.5P,1,28,0.225,0.031,1.21
2.5P,1,30,0.224,0.026,1.21
2.5P,1,32,0.224,0.022,1.21
2.5P,1,34,0.223,0.02,1.21
2.5P,1,36,0.222,0.018,1.21
2.5P,1,38,0.222,0.015,1.21
2.5P,1,40,0.222,0.013,1.21
2.5P,1,42,0.222,0.011,1.21
2.5P,2,2,0.2892,0.2583,3.126
2.5P,2,4,0.2758,0.2208,3.126
2.5P,2,6,0.2661,0.1921,3.126
2.5P,2,8,0.257,0.1635,3.126
2.5P,2,10,0.2501,0.1422,3.126
2.5P,2,12,0.2449,0.1245,3.126
2.5P,2,14,0.2406,0.11,3.126
2.5P,2,16,0.2372,0.098,3.126
2.5P,2,18,0.2345,0.0873,3.126
2.5P,2,20,0.232,0.0779,3.126
2.5P,2,22,0.2298,0.0696,3.126
2.5P,2,24,0.2277,0.0621,3.126
2.5P,2,26,0.226,0.0555,3.126
2.5P,2,28,0.2245,0.0491,3.126
2.5P,2,30,0.2231,0.0432,3.126
2.5P,2,32,0.222,0.038,3.126
2.5P,2,34,0.221,0.035,3.126
2.5P,2,36,0.22,0.031,3.126
2.5P,2,38,0.219,0.028,3.126
2.5P,2,40,0.219,0.025,3.126
2.5P,2,42,0.218,0.022,3.126
2.5P,2,44,0.217,0.019,3.126
2.5P,3,2,0.2922,0.268,6.55
2.5P,3,4,0.2792,0.2342,6.55
2.5P,3,6,0.2691,0.2072,6.55
2.5P,3,8,0.2615,0.1845,6.55
2.5P,3,10,0.2548,0.1638,6.55
2.5P,3,12,0.2498,0.148,6.55
2.5P,3,14,0.2449,0.1325,6.55
2.5P,3,16,0.241,0.1198,6.55
2.5P,3,18,0.238,0.1094,6.55
2.5P,3,20,0.2354,0.1003,6.55
2.5P,3,22,0.2329,0.0911,6.55
2.5P,3,24,0.2305,0.0832,6.55
2.5P,3,26,0.2286,0.0765,6.55
2.5P,3,28,0.2268,0.0698,6.55
2.5P,3,30,0.2252,0.0638,6.55
2.5P,3,32,0.2242,0.0587,6.55
2.5P,3,34,0.223,0.0543,6.55
2.5P,3,36,0.222,0.048,6.55
2.5P,3,38,0.221,0.044,6.55
2.5P,3,40,0.22,0.04,6.55
2.5P,3,42,0.22,0.035,6.55
2.5P,3,44,0.219,0.032,6.55
2.5P,3,46,0.218,0.028,6.55
2.5P,4,2,0.2962,0.2807,12
2.5P,4,4,0.2855,0.2531,12
2.5P,4,6,0.2763,0.23,12
2.5P,4,8,0.2685,0.2089,12
2.5P,4,10,0.2619,0.1903,12
2.5P,4,12,0.2559,0.173,12
2.5P,4,14,0.2509,0.1585,12
2.5P,4,16,0.2467,0.1452,12
2.5P,4,18,0.243,0.1332,12
2.5P,4,20,0.2394,0.1221,12
2.5P,4,22,0.2371,0.1143,12
2.5P,4,24,0.2348,0.1062,12
2.5P,4,26,0.2322,0.0978,12
2.5P,4,28,0.2302,0.0909,12
2.5P,4,30,0.2285,0.0847,12
2.5P,4,32,0.2265,0.0774,12
2.5P,4,34,0.224,0.07,12
2.5P,4,36,0.222,0.064,12
2.5P,4,38,0.22,0.057,12
