H,V,C,x,y,Y
2.5PB,0.2,2,0.147,0.143,0.237
2.5PB,0.2,4,0.109,0.094,0.237
2.5PB,0.2,6,0.087,0.067,0.237
2.5PB,0.4,2,0.19,0.196,0.467
2.5PB,0.4,4,0.141,0.139,0.467
2.5PB,0.4,6,0.113,0.098,0.467
2.5PB,0.4,8,0.093,0.065,0.467
2.5PB,0.6,2,0.215,0.221,0.699
2.5PB,0.6,4,0.166,0.165,0.699
2.5PB,0.6,6,0.131,0.122,0.699
2.5PB,0.6,8,0.106,0.09,0.699
2.5PB,0.6,10,0.089,0.068,0.699
2.5PB,0.6,12,0.079,0.055,0.699
2.5PB,0.8,2,0.225,0.234,0.943
2.5PB,0.8,4,0.178,0.181,0.943
2.5PB,0.8,6,0.142,0.138,0.943
2.5PB,0.8,8,0.117,0.105,0.943
2.5PB,0.8,10,0.098,0.081,0.943
2.5PB,0.8,12,0.082,0.058,0.943
2.5PB,1,2,0.236,0.242,1.21
2.5PB,1,4,0.1895,0.1911,1.21
2.5PB,1,6,0.1539,0.1491,1.21
2.5PB,1,8,0.1273,0.1157,1.21
2.5PB,1,10,0.106,0.09,1.21
2.5PB,1,12,0.091,0.068,1.21
2.5PB,1,14,0.078,0.056,1.21
2.5PB,2,2,0.2592,0.2675,3.126
2.5PB,2,4,0.2175,0.2245,3.126
2.5PB,2,6,0.1825,0.1857,3.126
2.5PB,2,8,0.154,0.153,3.126
2.5PB,2,10,0.1332,0.1278,3.126
2.5PB,2,12,0.1166,0.1076,3.126
2.5PB,2,14,0.102,0.089,3.126
2.5PB,2,16,0.092,0.076,3.126
2.5PB,2,18,0.084,0.064,3.126
2.5PB,3,2,0.2663,0.2756,6.55
2.5PB,3,4,0.2312,0.2405,6.55
2.5PB,3,6,0.2022,0.2101,6.55
2.5PB,3,8,0.178,0.1833,6.55
2.5PB,3,10,0.1576,0.16,6.55
2.5PB,3,12,0.1398,0.1395,6.55
2.5PB,3,14,0.1251,0.1218,6.55
2.5PB,3,16,0.113,0.107,6.55
2.5PB,3,18,0.102,0.093,6.55
2.5PB,3,20,0.095,0.083,6.55
2.5PB,3,22,0.088,0.073,6.55
2.5PB,4,2,0.2782,0.2876,12
2.5PB,4,4,0.2487,0.2597,12
2.5PB,4,6,0.2235,0.2343,12
2.5PB,4,8,0.1995,0.2094,12
2.5PB,4,10,0.1805,0.1888,12
2.5PB,4,12,0.1634,0.1698,12
2.5PB,4,14,0.1473,0.1513,12
2.5PB,4,16,0.1336,0.1349,12
2.5PB,4,18,0.1218,0.1208,12
2.5PB,4,20,0.112,0.108,12
2.5PB,4,22,0.104,0.096,12
2.5PB,4,24,0.098,0.089,12
2.5PB,5,2,0.2847,0.2942,19.77
2.5PB,5,4,0.26,0.272,19.77
2.5PB,5,6,0.2365,0.2488,19.77
2.5PB,5,8,0.2157,0.2278,19.77
2.5PB,5,10,0.1968,0.2078,19.77
2.5PB,5,12,0.1793,0.1894,19.77
2.5PB,5,14,0.1642,0.1728,19.77
2.5PB,5,16,0.1495,0.1559,19.77
2.5PB,5,18,0.1363,0.141,19.77
2.5PB,5,20,0.124,0.128,19.77
2.5PB,5,22,0.114,0.116,19.77
2.5PB,5,24,0.103,0.104,19.77
2.5PB,6,2,0.2897,0.2991,30.03
2.5PB,6,4,0.2684,0.2804,30.03
2.5PB,6,6,0.2465,0.2599,30.03
2.5PB,6,8,0.2274,0.2406,30.03
2.5PB,6,10,0.2095,0.2225,30.03
2.5PB,6,12,0.1913,0.2038,30.03
2.5PB,6,14,0.1754,0.1868,30.03
2.5PB,6,16,0.159,0.169,30.03
2.5PB,6,18,0.148,0.156,30.03
2.5PB,6,20,0.137,0.144,30.03
2.5PB,6,22,0.127,0.134,30.03
2.5PB,6,24,0.117,0.123,30.03
2.5PB,7,2,0.2932,0.3025,43.06
2.5PB,7,4,0.2729,0.2848,43.06
2.5PB,7,6,0.2538,0.2677,43.06
2.5PB,7,8,0.2352,0.2498,43.06
2.5PB,7,10,0.2162,0.2309,43.06
2.5PB,7,12,0.199,0.213,43.06
2.5PB,7,14,0.183,0.195,43.06
2.5PB,7,16,0.168,0.179,43.06
2.5PB,7,18,0.156,0.165,43.06
2.5PB,8,2,0.2957,0.3047,59.1
2.5PB,8,4,0.2758,0.2879,59.1
2.5PB,8,6,0.2562,0.2709,59.1
2.5PB,8,8,0.237,0.253,59.1
2.5PB,8,10,0.218,0.235,59.1
2.5PB,8,12,0.202,0.217,59.1
2.5PB,8,14,0.185,0.199,59.1
2.5PB,9,2,0.2975,0.3063,78.66
2.5PB,9,4,0.276,0.289,78.66
2.5PB,9,6,0.256,0.272,78.66
2.5PB,9,8,0.239,0.257,78.66
2.5PB,9,10,0.224,0.243,78.66
2.5PB,10,2,0.298,0.307,102.57
2.5PB,10,4,0.278,0.29,102.57
2.5PB,10,6,0.26,0.274,102.57
5PB,0.2,2,0.165,0.136,0.237
5PB,0.2,4,0.133,0.09,0.237
5PB,0.2,6,0.115,0.062,0.237
5PB,0.2,8,0.104,0.045,0.237
5PB,0.2,10,0.096,0.032,0.237
5PB,0.2,12,0.086,0.018,0.237
5PB,0.4,2,0.202,0.188,0.467
5PB,0.4,4,0.161,0.134,0.467
5PB,0.4,6,0.135,0.095,0.467
5PB,0.4,8,0.116,0.066,0.467
5PB,0.4,10,0.107,0.053,0.467
5PB,0.4,12,0.099,0.042,0.467
5PB,0.4,14,0.096,0.036,0.467
5PB,0.4,16,0.094,0.03,0.467
5PB,0.4,18,0.091,0.025,0.467
5PB,0.4,20,0.086,0.018,0.467
5PB,0.6,2,0.223,0.215,0.699
5PB,0.6,4,0.182,0.16,0.699
5PB,0.6,6,0.152,0.118,0.699
5PB,0.6,8,0.131,0.088,0.699
5PB,0.6,10,0.118,0.069,0.699
5PB,0.6,12,0.11,0.057,0.699
5PB,0.6,14,0.104,0.048,0.699
5PB,0.6,16,0.099,0.04,0.699
5PB,0.6,18,0.093,0.032,0.699
5PB,0.6,20,0.088,0.024,0.699
5PB,0.6,22,0.084,0.018,0.699
5PB,0.8,2,0.234,0.226,0.943
5PB,0.8,4,0.192,0.174,0.943
5PB,0.8,6,0.16,0.132,0.943
5PB,0.8,8,0.139,0.102,0.943
5PB,0.8,10,0.123,0.083,0.943
5PB,0.8,12,0.109,0.06,0.943
5PB,0.8,14,0.099,0.045,0.943
5PB,0.8,16,0.092,0.034,0.943
5PB,0.8,18,0.087,0.026,0.943
5PB,0.8,20,0.081,0.018,0.943
5PB,1,2,0.2427,0.2368,1.21
5PB,1,4,0.2012,0.1867,1.21
5PB,1,6,0.1678,0.1447,1.21
5PB,1,8,0.1447,0.1124,1.21
5PB,1,10,0.1285,0.087,1.21
5PB,1,12,0.117,0.07,1.21
5PB,1,14,0.112,0.06,1.21
5PB,1,16,0.106,0.05,1.21
5PB,1,18,0.104,0.044,1.21
5PB,1,20,0.1,0.038,1.21
5PB,1,22,0.098,0.034,1.21
5PB,1,24,0.096,0.03,1.21
5PB,1,26,0.095,0.027,1.21
5PB,1,28,0.094,0.024,1.21
5PB,1,30,0.093,0.022,1.21
5PB,1,32,0.092,0.02,1.21
5PB,1,34,0.091,0.018,1.21
5PB,1,36,0.09,0.016,1.21
5PB,1,38,0.089,0.014,1.21
5PB,1,40,0.088,0.012,1.21
5PB,1,42,0.088,0.01,1.21
5PB,1,44,0.087,0.008,1.21
5PB,2,2,0.2638,0.2624,3.126
5PB,2,4,0.2263,0.2192,3.126
5PB,2,6,0.1942,0.1811,3.126
5PB,2,8,0.1685,0.1491,3.126
5PB,2,10,0.15,0.124,3.126
5PB,2,12,0.1363,0.1048,3.126
5PB,2,14,0.1253,0.0873,3.126
5PB,2,16,0.117,0.074,3.126
5PB,2,18,0.111,0.064,3.126
5PB,2,20,0.108,0.058,3.126
5PB,2,22,0.104,0.052,3.126
5PB,2,24,0.1,0.046,3.126
5PB,2,26,0.098,0.042,3.126
5PB,2,28,0.097,0.04,3.126
5PB,2,30,0.096,0.038,3.126
5PB,2,32,0.095,0.036,3.126
5PB,2,34,0.093,0.033,3.126
5PB,2,36,0.092,0.031,3.126
