H,V,C,x,y,Y
2.5R,0.2,2,0.451,0.183,0.237
2.5R,0.2,4,0.488,0.142,0.237
2.5R,0.2,6,0.51,0.119,0.237
2.5R,0.4,2,0.411,0.236,0.467
2.5R,0.4,4,0.45,0.198,0.467
2.5R,0.4,6,0.477,0.17,0.467
2.5R,0.4,8,0.501,0.143,0.467
2.5R,0.4,10,0.529,0.113,0.467
2.5R,0.6,2,0.391,0.26,0.699
2.5R,0.6,4,0.432,0.227,0.699
2.5R,0.6,6,0.464,0.2,0.699
2.5R,0.6,8,0.489,0.176,0.699
2.5R,0.6,10,0.511,0.154,0.699
2.5R,0.6,12,0.537,0.126,0.699
2.5R,0.8,2,0.381,0.272,0.943
2.5R,0.8,4,0.421,0.245,0.943
2.5R,0.8,6,0.455,0.219,0.943
2.5R,0.8,8,0.483,0.195,0.943
2.5R,0.8,10,0.502,0.177,0.943
2.5R,0.8,12,0.521,0.159,0.943
2.5R,0.8,14,0.536,0.143,0.943
2.5R,1,2,0.3768,0.2816,1.21
2.5R,1,4,0.4166,0.2569,1.21
2.5R,1,6,0.4515,0.2329,1.21
2.5R,1,8,0.4812,0.2103,1.21
2.5R,1,10,0.5058,0.19,1.21
2.5R,1,12,0.533,0.169,1.21
2.5R,1,14,0.548,0.156,1.21
2.5R,2,2,0.3614,0.3033,3.126
2.5R,2,4,0.4021,0.29,3.126
2.5R,2,6,0.439,0.276,3.126
2.5R,2,8,0.4776,0.2593,3.126
2.5R,2,10,0.5122,0.2428,3.126
2.5R,2,12,0.5438,0.2254,3.126
2.5R,2,14,0.5734,0.2083,3.126
2.5R,2,16,0.601,0.192,3.126
2.5R,3,2,0.3591,0.313,6.55
2.5R,3,4,0.4021,0.3076,6.55
2.5R,3,6,0.4409,0.3009,6.55
2.5R,3,8,0.4821,0.2918,6.55
2.5R,3,10,0.5191,0.2811,6.55
2.5R,3,12,0.5536,0.2691,6.55
2.5R,3,14,0.5828,0.2579,6.55
2.5R,3,16,0.6116,0.2456,6.55
2.5R,3,18,0.64,0.232,6.55
2.5R,3,20,0.667,0.217,6.55
2.5R,4,2,0.3461,0.315,12
2.5R,4,4,0.3806,0.3125,12
2.5R,4,6,0.4141,0.3085,12
2.5R,4,8,0.4472,0.3031,12
2.5R,4,10,0.4774,0.2969,12
2.5R,4,12,0.5072,0.2897,12
2.5R,4,14,0.5369,0.281,12
2.5R,4,16,0.562,0.2724,12
2.5R,4,18,0.5898,0.2622,12
2.5R,4,20,0.615,0.253,12
2.5R,4,22,0.633,0.244,12
