H,V,C,x,y,Y
2.5RP,0.2,2,0.315,0.137,0.237
2.5RP,0.2,4,0.313,0.1,0.237
2.5RP,0.2,6,0.312,0.078,0.237
2.5RP,0.2,8,0.31,0.064,0.237
2.5RP,0.2,10,0.31,0.053,0.237
2.5RP,0.4,2,0.32,0.193,0.467
2.5RP,0.4,4,0.32,0.151,0.467
2.5RP,0.4,6,0.32,0.123,0.467
2.5RP,0.4,8,0.32,0.1,0.467
2.5RP,0.4,10,0.32,0.078,0.467
2.5RP,0.4,12,0.32,0.065,0.467
2.5RP,0.4,14,0.32,0.054,0.467
2.5RP,0.6,2,0.322,0.218,0.699
2.5RP,0.6,4,0.324,0.179,0.699
2.5RP,0.6,6,0.325,0.151,0.699
2.5RP,0.6,8,0.326,0.125,0.699
2.5RP,0.6,10,0.326,0.106,0.699
2.5RP,0.6,12,0.326,0.092,0.699
2.5RP,0.6,14,0.326,0.073,0.699
2.5RP,0.6,16,0.325,0.062,0.699
2.5RP,0.8,2,0.322,0.236,0.943
2.5RP,0.8,4,0.326,0.195,0.943
2.5RP,0.8,6,0.328,0.168,0.943
2.5RP,0.8,8,0.329,0.144,0.943
2.5RP,0.8,10,0.329,0.129,0.943
2.5RP,0.8,12,0.33,0.111,0.943
2.5RP,0.8,14,0.33,0.093,0.943
2.5RP,0.8,16,0.331,0.084,0.943
2.5RP,0.8,18,0.331,0.077,0.943
2.5RP,0.8,20,0.331,0.07,0.943
2.5RP,0.8,22,0.331,0.065,0.943
2.5RP,1,2,0.324,0.2459,1.21
2.5RP,1,4,0.329,0.2095,1.21
2.5RP,1,6,0.3321,0.1811,1.21
2.5RP,1,8,0.3342,0.1551,1.21
2.5RP,1,10,0.3354,0.1351,1.21
2.5RP,1,12,0.3361,0.1181,1.21
2.5RP,1,14,0.3368,0.102,1.21
2.5RP,1,16,0.3368,0.0902,1.21
2.5RP,1,18,0.337,0.08,1.21
2.5RP,1,20,0.336,0.07,1.21
2.5RP,1,22,0.336,0.061,1.21
2.5RP,2,2,0.3279,0.2754,3.126
2.5RP,2,4,0.3382,0.2496,3.126
2.5RP,2,6,0.347,0.2259,3.126
2.5RP,2,8,0.3555,0.2003,3.126
2.5RP,2,10,0.3617,0.18,3.126
2.5RP,2,12,0.3668,0.1618,3.126
2.5RP,2,14,0.3711,0.1449,3.126
2.5RP,2,16,0.3748,0.131,3.126
2.5RP,2,18,0.3778,0.1188,3.126
2.5RP,2,20,0.3802,0.108,3.126
2.5RP,2,22,0.383,0.096,3.126
2.5RP,2,24,0.386,0.086,3.126
2.5RP,2,26,0.388,0.076,3.126
2.5RP,3,2,0.3272,0.2861,6.55
2.5RP,3,4,0.34,0.2624,6.55
2.5RP,3,6,0.3501,0.2425,6.55
2.5RP,3,8,0.3598,0.2233,6.55
2.5RP,3,10,0.3681,0.2054,6.55
2.5RP,3,12,0.3754,0.1898,6.55
2.5RP,3,14,0.3818,0.1758,6.55
2.5RP,3,16,0.3876,0.1629,6.55
2.5RP,3,18,0.3929,0.1506,6.55
2.5RP,3,20,0.3969,0.1413,6.55
2.5RP,3,22,0.4018,0.1304,6.55
2.5RP,3,24,0.405,0.122,6.55
2.5RP,3,26,0.408,0.114,6.55
2.5RP,3,28,0.414,0.102,6.55
2.5RP,3,30,0.417,0.094,6.55
2.5RP,4,2,0.3231,0.2951,12
2.5RP,4,4,0.334,0.277,12
2.5RP,4,6,0.3442,0.2595,12
2.5RP,4,8,0.3533,0.2438,12
2.5RP,4,10,0.3608,0.2301,12
2.5RP,4,12,0.3683,0.2162,12
2.5RP,4,14,0.3748,0.2039,12
2.5RP,4,16,0.3807,0.1923,12
2.5RP,4,18,0.3865,0.1802,12
2.5RP,4,20,0.3926,0.1679,12
2.5RP,4,22,0.3967,0.1593,12
2.5RP,4,24,0.4011,0.1504,12
2.5RP,4,26,0.4048,0.1428,12
2.5RP,4,28,0.409,0.134,12
2.5RP,4,30,0.414,0.122,12
2.5RP,4,32,0.417,0.115,12
2.5RP,4,34,0.419,0.108,12
2.5RP,5,2,0.3199,0.3019,19.77
2.5RP,5,4,0.3298,0.2869,19.77
2.5RP,5,6,0.3396,0.2718,19.77
2.5RP,5,8,0.349,0.257,19.77
2.5RP,5,10,0.356,0.2452,19.77
2.5RP,5,12,0.3635,0.2325,19.77
2.5RP,5,14,0.3703,0.2211,19.77
2.5RP,5,16,0.3763,0.2108,19.77
2.5RP,5,18,0.3821,0.2007,19.77
2.5RP,5,20,0.3873,0.1909,19.77
2.5RP,5,22,0.3924,0.1814,19.77
2.5RP,5,24,0.3965,0.1738,19.77
2.5RP,5,26,0.4011,0.1652,19.77
2.5RP,5,28,0.405,0.157,19.77
2.5RP,5,30,0.409,0.149,19.77
2.5RP,5,32,0.413,0.142,19.77
2.5RP,5,34,0.416,0.135,19.77
2.5RP,5,36,0.421,0.126,19.77
2.5RP,6,2,0.3188,0.3048,30.03
2.5RP,6,4,0.3272,0.2929,30.03
2.5RP,6,6,0.3362,0.2799,30.03
