H,V,C,x,y,Y
2.5Y,0.2,2,1.43,0.97,0.237
2.5Y,0.4,2,0.729,0.588,0.467
2.5Y,0.6,2,0.563,0.491,0.699
2.5Y,0.6,4,0.995,0.734,0.699
2.5Y,0.8,2,0.479,0.439,0.943
2.5Y,0.8,4,0.82,0.64,0.943
2.5Y,1,2,0.4362,0.4177,1.21
2.5Y,1,4,0.581,0.505,1.21
2.5Y,2,2,0.3825,0.3785,3.126
2.5Y,2,4,0.4627,0.4392,3.126
2.5Y,2,6,0.538,0.486,3.126
2.5Y,2,8,0.604,0.526,3.126
2.5Y,3,2,0.3703,0.37,6.55
2.5Y,3,4,0.4277,0.4166,6.55
2.5Y,3,6,0.4784,0.4531,6.55
2.5Y,3,8,0.521,0.482,6.55
2.5Y,3,10,0.56,0.505,6.55
2.5Y,4,2,0.3633,0.3654,12
2.5Y,4,4,0.4138,0.4076,12
2.5Y,4,6,0.4542,0.4391,12
2.5Y,4,8,0.4865,0.4625,12
2.5Y,4,10,0.512,0.48,12
2.5Y,4,12,0.529,0.492,12
2.5Y,5,2,0.3534,0.357,19.77
2.5Y,5,4,0.3968,0.3954,19.77
2.5Y,5,6,0.438,0.4292,19.77
2.5Y,5,8,0.4685,0.4524,19.77
2.5Y,5,10,0.4905,0.4683,19.77
2.5Y,5,12,0.5082,0.4812,19.77
2.5Y,5,14,0.523,0.491,19.77
2.5Y,6,2,0.348,0.354,30.03
2.5Y,6,4,0.384,0.3867,30.03
2.5Y,6,6,0.4203,0.4176,30.03
2.5Y,6,8,0.4517,0.4421,30.03
2.5Y,6,10,0.476,0.4607,30.03
2.5Y,6,12,0.4928,0.473,30.03
2.5Y,6,14,0.5061,0.4829,30.03
2.5Y,6,16,0.516,0.489,30.03
2.5Y,6,18,0.523,0.494,30.03
2.5Y,7,2,0.3436,0.3507,43.06
2.5Y,7,4,0.3761,0.38,43.06
2.5Y,7,6,0.4073,0.4073,43.06
2.5Y,7,8,0.4353,0.4312,43.06
2.5Y,7,10,0.4606,0.4516,43.06
2.5Y,7,12,0.4806,0.4666,43.06
2.5Y,7,14,0.495,0.4773,43.06
2.5Y,7,16,0.5049,0.4843,43.06
2.5Y,7,18,0.511,0.488,43.06
2.5Y,7,20,0.516,0.492,43.06
2.5Y,8,2,0.3406,0.3484,59.1
2.5Y,8,4,0.3684,0.3751,59.1
2.5Y,8,6,0.3969,0.4009,59.1
2.5Y,8,8,0.4231,0.4231,59.1
