H,V,C,x,y,Y
2.5YR,0.2,2,0.679,0.29,0.237
2.5YR,0.2,4,0.843,0.245,0.237
2.5YR,0.4,2,0.534,0.324,0.467
2.5YR,0.4,4,0.665,0.298,0.467
2.5YR,0.4,6,0.755,0.27,0.467
2.5YR,0.4,8,0.844,0.241,0.467
2.5YR,0.6,2,0.474,0.332,0.699
2.5YR,0.6,4,0.603,0.322,0.699
2.5YR,0.6,6,0.693,0.303,0.699
2.5YR,0.6,8,0.787,0.282,0.699
2.5YR,0.6,10,0.846,0.266,0.699
2.5YR,0.8,2,0.445,0.333,0.943
2.5YR,0.8,4,0.558,0.33,0.943
2.5YR,0.8,6,0.637,0.32,0.943
2.5YR,0.8,8,0.715,0.306,0.943
2.5YR,0.8,10,0.802,0.288,0.943
2.5YR,0.8,12,0.875,0.273,0.943
2.5YR,1,2,0.4258,0.3344,1.21
2.5YR,1,4,0.5311,0.3371,1.21
2.5YR,1,6,0.6048,0.327,1.21
2.5YR,1,8,0.6721,0.3058,1.21
2.5YR,1,10,0.727,0.279,1.21
2.5YR,1,12,0.778,0.248,1.21
2.5YR,2,2,0.3852,0.3365,3.126
2.5YR,2,4,0.4598,0.3508,3.126
2.5YR,2,6,0.528,0.3581,3.126
2.5YR,2,8,0.5995,0.359,3.126
2.5YR,2,10,0.659,0.35,3.126
2.5YR,2,12,0.718,0.34,3.126
2.5YR,2,14,0.779,0.323,3.126
2.5YR,2,16,0.824,0.309,3.126
2.5YR,3,2,0.3757,0.3391,6.55
2.5YR,3,4,0.436,0.3563,6.55
2.5YR,3,6,0.4954,0.3692,6.55
2.5YR,3,8,0.5475,0.3771,6.55
2.5YR,3,10,0.5941,0.3818,6.55
2.5YR,3,12,0.637,0.381,6.55
2.5YR,3,14,0.674,0.379,6.55
2.5YR,3,16,0.708,0.374,6.55
2.5YR,4,2,0.3624,0.3367,12
2.5YR,4,4,0.4141,0.3539,12
2.5YR,4,6,0.4612,0.3674,12
2.5YR,4,8,0.5071,0.3777,12
2.5YR,4,10,0.5475,0.3856,12
2.5YR,4,12,0.5809,0.391,12
2.5YR,4,14,0.614,0.396,12
2.5YR,4,16,0.639,0.4,12
