h,V,C,x,y,Y
2.5B,1,2,0.2322,0.2781,1.210
2.5B,1,4,0.1649,0.2324,1.210
2.5B,1,6,0.1118,0.1908,1.210
2.5B,2,2,0.2578,0.2940,3.126
2.5B,2,4,0.2060,0.2649,3.126
2.5B,2,6,0.1621,0.2358,3.126
2.5B,2,8,0.1230,0.2076,3.126
2.5B,2,10,0.0911,0.1828,3.126
2.5B,3,2,0.2636,0.2983,6.555
2.5B,3,4,0.2183,0.2748,6.555
2.5B,3,6,0.1826,0.2536,6.555
2.5B,3,8,0.1511,0.2331,6.555
2.5B,3,10,0.1220,0.2132,6.555
2.5B,3,12,0.0989,0.1963,6.555
2.5B,4,2,0.2727,0.3038,12.000
2.5B,4,4,0.2360,0.2872,12.000
2.5B,4,6,0.2048,0.2708,12.000
2.5B,4,8,0.1737,0.2524,12.000
2.5B,4,10,0.1463,0.2354,12.000
2.5B,4,12,0.1247,0.2209,12.000
2.5B,4,14,0.1027,0.2057,12.000
2.5B,4,16,0.0900,0.1973,12.000
2.5B,5,2,0.2791,0.3071,19.770
2.5B,5,4,0.2492,0.2954,19.770
2.5B,5,6,0.2210,0.2823,19.770
2.5B,5,8,0.1947,0.2687,19.770
2.5B,5,10,0.1697,0.2549,19.770
2.5B,5,12,0.1461,0.2406,19.770
2.5B,5,14,0.1283,0.2292,19.770
2.5B,5,16,0.1090,0.2166,19.770
2.5B,6,2,0.2835,0.3097,30.050
2.5B,6,4,0.2571,0.3008,30.050
2.5B,6,6,0.2312,0.2899,30.050
2.5B,6,8,0.2080,0.2789,30.050
2.5B,6,10,0.1879,0.2682,30.050
2.5B,6,12,0.1660,0.2561,30.050
2.5B,6,14,0.1480,0.2459,30.050
2.5B,6,16,0.1294,0.2348,30.050
2.5B,7,2,0.2867,0.3110,43.060
2.5B,7,4,0.2629,0.3038,43.060
2.5B,7,6,0.2418,0.2960,43.060
2.5B,7,8,0.2208,0.2871,43.060
2.5B,7,10,0.1994,0.2775,43.060
2.5B,7,12,0.1797,0.2672,43.060
2.5B,7,14,0.1624,0.2581,43.060
2.5B,7,16,0.1435,0.2472,43.060
2.5B,8,2,0.2897,0.3124,59.100
2.5B,8,4,0.2668,0.3067,59.100
2.5B,8,6,0.2462,0.3000,59.100
2.5B,8,8,0.2264,0.2923,59.100
2.5B,8,10,0.2066,0.2839,59.100
2.5B,8,12,0.1877,0.2752,59.100
2.5B,9,2,0.2909,0.3125,78.660
2.5B,9,4,0.2680,0.3073,78.660
5B,1,2,0.2291,0.2677,1.210
5B,1,4,0.1667,0.2168,1.210
5B,1,6,0.1212,0.1745,1.210
5B,2,2,0.2559,0.2874,3.126
5B,2,4,0.2048,0.2518,3.126
5B,2,6,0.1617,0.2162,3.126
5B,2,8,0.1245,0.1827,3.126
5B,2,10,0.0965,0.1558,3.126
5B,3,2,0.2617,0.2921,6.555
5B,3,4,0.2176,0.2632,6.555
5B,3,6,0.1835,0.2375,6.555
5B,3,8,0.1527,0.2119,6.555
5B,3,10,0.1259,0.1879,6.555
5B,3,12,0.1042,0.1681,6.555
5B,4,2,0.2723,0.2992,12.000
5B,4,4,0.2363,0.2782,12.000
5B,4,6,0.2060,0.2572,12.000
5B,4,8,0.1759,0.2345,12.000
5B,4,10,0.1512,0.2148,12.000
5B,4,12,0.1299,0.1963,12.000
5B,4,14,0.1098,0.1785,12.000
5B,5,2,0.2794,0.3032,19.770
5B,5,4,0.2493,0.2879,19.770
5B,5,6,0.2215,0.2701,19.770
5B,5,8,0.1958,0.2519,19.770
5B,5,10,0.1729,0.2347,19.770
5B,5,12,0.1505,0.2172,19.770
5B,5,14,0.1320,0.2021,19.770
5B,5,16,0.1132,0.1863,19.770
5B,6,2,0.2842,0.3063,30.050
5B,6,4,0.2579,0.2938,30.050
5B,6,6,0.2320,0.2789,30.050
5B,6,8,0.2088,0.2635,30.050
5B,6,10,0.1883,0.2487,30.050
5B,6,12,0.1685,0.2339,30.050
5B,6,14,0.1496,0.2193,30.050
5B,6,16,0.1310,0.2048,30.050
5B,7,2,0.2875,0.3078,43.060
5B,7,4,0.2633,0.2972,43.060
5B,7,6,0.2410,0.2854,43.060
5B,7,8,0.2204,0.2729,43.060
5B,7,10,0.1986,0.2579,43.060
5B,7,12,0.1778,0.2430,43.060
5B,7,14,0.1615,0.2307,43.060
5B,8,2,0.2908,0.3096,59.100
5B,8,4,0.2671,0.2998,59.100
5B,8,6,0.2457,0.2888,59.100
5B,8,8,0.2237,0.2761,59.100
5B,9,2,0.2919,0.3102,78.660
5B,9,4,0.2675,0.3005,78.660
7.5B,1,2,0.2291,0.2579,1.210
7.5B,1,4,0.1716,0.2048,1.210
7.5B,1,6,0.1303,0.1639,1.210
7.5B,1,8,0.0968,0.1280,1.210
7.5B,2,2,0.2545,0.2799,3.126
7.5B,2,4,0.2063,0.2400,3.126
7.5B,2,6,0.1658,0.2026,3.126
7.5B,2,8,0.1313,0.1692,3.126
7.5B,2,10,0.1051,0.1422,3.126
7.5B,3,2,0.2616,0.2857,6.555
7.5B,3,4,0.2200,0.2536,6.555
7.5B,3,6,0.1875,0.2258,6.555
7.5B,3,8,0.1583,0.1987,6.555
7.5B,3,10,0.1343,0.1756,6.555
7.5B,3,12,0.1131,0.1542,6.555
7.5B,4,2,0.2733,0.2947,12.000
7.5B,4,4,0.2388,0.2704,12.000
7.5B,4,6,0.2102,0.2470,12.000
7.5B,4,8,0.1821,0.2232,12.000
7.5B,4,10,0.1601,0.2028,12.000
7.5B,4,12,0.1393,0.1837,12.000
7.5B,4,14,0.1204,0.1655,12.000
7.5B,5,2,0.2803,0.3000,19.770
7.5B,5,4,0.2511,0.2808,19.770
7.5B,5,6,0.2248,0.2612,19.770
7.5B,5,8,0.2007,0.2417,19.770
7.5B,5,10,0.1792,0.2230,19.770
7.5B,5,12,0.1584,0.2042,19.770
7.5B,5,14,0.1404,0.1878,19.770
7.5B,5,16,0.1230,0.1711,19.770
7.5B,6,2,0.2854,0.3037,30.050
7.5B,6,4,0.2602,0.2881,30.050
7.5B,6,6,0.2352,0.2708,30.050
7.5B,6,8,0.2132,0.2537,30.050
7.5B,6,10,0.1934,0.2374,30.050
7.5B,6,12,0.1734,0.2203,30.050
7.5B,6,14,0.1556,0.2043,30.050
7.5B,6,16,0.1376,0.1879,30.050
7.5B,7,2,0.2888,0.3058,43.060
7.5B,7,4,0.2651,0.2927,43.060
7.5B,7,6,0.2436,0.2787,43.060
7.5B,7,8,0.2225,0.2631,43.060
7.5B,7,10,0.2016,0.2466,43.060
7.5B,7,12,0.1818,0.2303,43.060
7.5B,8,2,0.2922,0.3077,59.100
7.5B,8,4,0.2688,0.2956,59.100
7.5B,8,6,0.2472,0.2821,59.100
7.5B,8,8,0.2252,0.2668,59.100
7.5B,9,2,0.2937,0.3087,78.660
7.5B,9,4,0.2688,0.2961,78.660
10B,1,2,0.2309,0.2491,1.210
10B,1,4,0.1783,0.1974,1.210
10B,1,6,0.1392,0.1563,1.210
10B,1,8,0.1077,0.1218,1.210
10B,2,2,0.2558,0.2725,3.126
10B,2,4,0.2102,0.2313,3.126
10B,2,6,0.1716,0.1937,3.126
10B,2,8,0.1396,0.1603,3.126
10B,2,10,0.1157,0.1346,3.126
10B,3,2,0.2631,0.2801,6.555
10B,3,4,0.2246,0.2467,6.555
10B,3,6,0.1933,0.2173,6.555
10B,3,8,0.1658,0.1905,6.555
10B,3,10,0.1432,0.1675,6.555
10B,3,12,0.1228,0.1460,6.555
10B,3,14,0.1065,0.1285,6.555
10B,4,2,0.2753,0.2910,12.000
10B,4,4,0.2429,0.2648,12.000
10B,4,6,0.2157,0.2407,12.000
10B,4,8,0.1893,0.2160,12.000
10B,4,10,0.1681,0.1954,12.000
10B,4,12,0.1487,0.1760,12.000
10B,4,14,0.1310,0.1580,12.000
10B,4,16,0.1155,0.1416,12.000
10B,5,2,0.2821,0.2966,19.770
10B,5,4,0.2547,0.2757,19.770
10B,5,6,0.2299,0.2548,19.770
10B,5,8,0.2067,0.2344,19.770
10B,5,10,0.1860,0.2149,19.770
10B,5,12,0.1666,0.1964,19.770
10B,5,14,0.1492,0.1797,19.770
10B,5,16,0.1326,0.1632,19.770
10B,5,18,0.1203,0.1505,19.770
10B,6,2,0.2871,0.3012,30.050
10B,6,4,0.2637,0.2840,30.050
10B,6,6,0.2399,0.2650,30.050
10B,6,8,0.2189,0.2468,30.050
10B,6,10,0.2000,0.2298,30.050
10B,6,12,0.1803,0.2114,30.050
10B,6,14,0.1629,0.1947,30.050
10B,6,16,0.1454,0.1778,30.050
10B,7,2,0.2908,0.3039,43.060
10B,7,4,0.2685,0.2886,43.060
10B,7,6,0.2478,0.2728,43.060
10B,7,8,0.2277,0.2559,43.060
10B,7,10,0.2078,0.2382,43.060
10B,7,12,0.1883,0.2203,43.060
10B,8,2,0.2935,0.3062,59.100
10B,8,4,0.2718,0.2911,59.100
10B,8,6,0.2512,0.2760,59.100
10B,8,8,0.2294,0.2587,59.100
10B,9,2,0.2949,0.3076,78.660
10B,9,4,0.2712,0.2924,78.660
