h,V,C,x,y,Y
2.5BG,1,2,0.2600,0.3289,1.210
2.5BG,1,4,0.1883,0.3406,1.210
2.5BG,1,6,0.1169,0.3452,1.210
2.5BG,1,8,0.0476,0.3458,1.210
2.5BG,2,2,0.2765,0.3271,3.126
2.5BG,2,4,0.2343,0.3378,3.126
2.5BG,2,6,0.1971,0.3452,3.126
2.5BG,2,8,0.1557,0.3517,3.126
2.5BG,2,10,0.1190,0.3551,3.126
2.5BG,2,12,0.0851,0.3576,3.126
2.5BG,2,14,0.0555,0.3588,3.126
2.5BG,3,2,0.2799,0.3271,6.555
2.5BG,3,4,0.2437,0.3386,6.555
2.5BG,3,6,0.2132,0.3468,6.555
2.5BG,3,8,0.1845,0.3531,6.555
2.5BG,3,10,0.1552,0.3580,6.555
2.5BG,3,12,0.1288,0.3620,6.555
2.5BG,3,14,0.1051,0.3648,6.555
2.5BG,3,16,0.0843,0.3667,6.555
2.5BG,3,18,0.0648,0.3682,6.555
2.5BG,3,20,0.0482,0.3695,6.555
2.5BG,4,2,0.2840,0.3270,12.000
2.5BG,4,4,0.2552,0.3375,12.000
2.5BG,4,6,0.2278,0.3463,12.000
2.5BG,4,8,0.2006,0.3540,12.000
2.5BG,4,10,0.1738,0.3600,12.000
2.5BG,4,12,0.1492,0.3649,12.000
2.5BG,4,14,0.1283,0.3688,12.000
2.5BG,4,16,0.1102,0.3720,12.000
2.5BG,4,18,0.0915,0.3754,12.000
2.5BG,4,20,0.0768,0.3773,12.000
2.5BG,4,22,0.0636,0.3788,12.000
2.5BG,4,24,0.0510,0.3800,12.000
2.5BG,5,2,0.2880,0.3270,19.770
2.5BG,5,4,0.2659,0.3369,19.770
2.5BG,5,6,0.2448,0.3452,19.770
2.5BG,5,8,0.2205,0.3537,19.770
2.5BG,5,10,0.1980,0.3606,19.770
2.5BG,5,12,0.1735,0.3668,19.770
2.5BG,5,14,0.1559,0.3708,19.770
2.5BG,5,16,0.1348,0.3750,19.770
2.5BG,5,18,0.1165,0.3785,19.770
2.5BG,5,20,0.1005,0.3814,19.770
2.5BG,5,22,0.0861,0.3832,19.770
2.5BG,5,24,0.0738,0.3851,19.770
2.5BG,6,2,0.2902,0.3268,30.050
2.5BG,6,4,0.2702,0.3369,30.050
2.5BG,6,6,0.2526,0.3448,30.050
2.5BG,6,8,0.2332,0.3522,30.050
2.5BG,6,10,0.2148,0.3584,30.050
2.5BG,6,12,0.1954,0.3645,30.050
2.5BG,6,14,0.1779,0.3699,30.050
2.5BG,6,16,0.1600,0.3748,30.050
2.5BG,6,18,0.1428,0.3790,30.050
2.5BG,6,20,0.1269,0.3829,30.050
2.5BG,6,22,0.1120,0.3860,30.050
2.5BG,7,2,0.2927,0.3269,43.060
2.5BG,7,4,0.2764,0.3354,43.060
2.5BG,7,6,0.2608,0.3430,43.060
2.5BG,7,8,0.2439,0.3508,43.060
2.5BG,7,10,0.2264,0.3576,43.060
2.5BG,7,12,0.2102,0.3636,43.060
2.5BG,7,14,0.1932,0.3694,43.060
2.5BG,7,16,0.1788,0.3739,43.060
2.5BG,7,18,0.1626,0.3788,43.060
2.5BG,7,20,0.1490,0.3827,43.060
2.5BG,7,22,0.1334,0.3870,43.060
2.5BG,8,2,0.2940,0.3268,59.100
2.5BG,8,4,0.2791,0.3351,59.100
2.5BG,8,6,0.2647,0.3429,59.100
2.5BG,8,8,0.2500,0.3500,59.100
2.5BG,8,10,0.2352,0.3566,59.100
2.5BG,8,12,0.2196,0.3630,59.100
2.5BG,8,14,0.2057,0.3681,59.100
2.5BG,8,16,0.1915,0.3732,59.100
2.5BG,8,18,0.1759,0.3782,59.100
2.5BG,9,2,0.2947,0.3267,78.660
2.5BG,9,4,0.2805,0.3349,78.660
