h,V,C,x,y,Y
2.5G,1,2,0.2910,0.3634,1.210
2.5G,1,4,0.2454,0.4489,1.210
2.5G,1,6,0.1711,0.5619,1.210
2.5G,1,8,0.0620,0.6896,1.210
2.5G,2,2,0.2978,0.3507,3.126
2.5G,2,4,0.2763,0.3998,3.126
2.5G,2,6,0.2493,0.4522,3.126
2.5G,2,8,0.2192,0.5042,3.126
2.5G,2,10,0.1773,0.5698,3.126
2.5G,2,12,0.1307,0.6308,3.126
2.5G,2,14,0.0820,0.6860,3.126
2.5G,2,16,0.0329,0.7358,3.126
2.5G,3,2,0.2999,0.3500,6.555
2.5G,3,4,0.2836,0.3915,6.555
2.5G,3,6,0.2642,0.4342,6.555
2.5G,3,8,0.2435,0.4752,6.555
2.5G,3,10,0.2170,0.5211,6.555
2.5G,3,12,0.1902,0.5642,6.555
2.5G,3,14,0.1626,0.6052,6.555
2.5G,3,16,0.1341,0.6420,6.555
2.5G,3,18,0.1049,0.6766,6.555
2.5G,3,20,0.0720,0.7127,6.555
2.5G,3,22,0.0390,0.7468,6.555
2.5G,4,2,0.3012,0.3470,12.000
2.5G,4,4,0.2891,0.3821,12.000
2.5G,4,6,0.2735,0.4215,12.000
2.5G,4,8,0.2561,0.4597,12.000
2.5G,4,10,0.2355,0.5006,12.000
2.5G,4,12,0.2128,0.5425,12.000
2.5G,4,14,0.1909,0.5779,12.000
2.5G,4,16,0.1682,0.6111,12.000
2.5G,4,18,0.1446,0.6431,12.000
2.5G,4,20,0.1230,0.6706,12.000
2.5G,4,22,0.1009,0.6975,12.000
2.5G,4,24,0.0760,0.7250,12.000
2.5G,4,26,0.0528,0.7502,12.000
2.5G,5,2,0.3030,0.3445,19.770
2.5G,5,4,0.2943,0.3735,19.770
2.5G,5,6,0.2841,0.4045,19.770
2.5G,5,8,0.2710,0.4380,19.770
2.5G,5,10,0.2565,0.4705,19.770
2.5G,5,12,0.2385,0.5071,19.770
2.5G,5,14,0.2211,0.5411,19.770
2.5G,5,16,0.2005,0.5759,19.770
2.5G,5,18,0.1782,0.6095,19.770
2.5G,5,20,0.1579,0.6392,19.770
2.5G,5,22,0.1377,0.6674,19.770
2.5G,5,24,0.1188,0.6918,19.770
2.5G,5,26,0.0992,0.7155,19.770
2.5G,5,28,0.0794,0.7385,19.770
2.5G,6,2,0.3039,0.3437,30.050
2.5G,6,4,0.2967,0.3695,30.050
2.5G,6,6,0.2892,0.3963,30.050
2.5G,6,8,0.2799,0.4239,30.050
2.5G,6,10,0.2690,0.4530,30.050
2.5G,6,12,0.2574,0.4814,30.050
2.5G,6,14,0.2426,0.5133,30.050
2.5G,6,16,0.2278,0.5430,30.050
2.5G,6,18,0.2102,0.5737,30.050
2.5G,6,20,0.1922,0.6035,30.050
2.5G,6,22,0.1739,0.6318,30.050
2.5G,6,24,0.1536,0.6605,30.050
2.5G,6,26,0.1340,0.6871,30.050
2.5G,6,28,0.1145,0.7122,30.050
2.5G,7,2,0.3047,0.3413,43.060
2.5G,7,4,0.2992,0.3644,43.060
2.5G,7,6,0.2933,0.3873,43.060
2.5G,7,8,0.2861,0.4129,43.060
2.5G,7,10,0.2775,0.4395,43.060
2.5G,7,12,0.2672,0.4667,43.060
2.5G,7,14,0.2568,0.4931,43.060
2.5G,7,16,0.2448,0.5203,43.060
2.5G,7,18,0.2328,0.5467,43.060
2.5G,7,20,0.2181,0.5744,43.060
2.5G,7,22,0.2029,0.6017,43.060
2.5G,7,24,0.1875,0.6265,43.060
2.5G,7,26,0.1689,0.6549,43.060
2.5G,8,2,0.3053,0.3404,59.100
2.5G,8,4,0.3009,0.3614,59.100
2.5G,8,6,0.2952,0.3851,59.100
2.5G,8,8,0.2896,0.4065,59.100
2.5G,8,10,0.2829,0.4301,59.100
2.5G,8,12,0.2743,0.4554,59.100
2.5G,8,14,0.2661,0.4780,59.100
2.5G,8,16,0.2563,0.5045,59.100
2.5G,8,18,0.2451,0.5309,59.100
2.5G,8,20,0.2339,0.5561,59.100
2.5G,8,22,0.2221,0.5799,59.100
2.5G,8,24,0.2091,0.6033,59.100
2.5G,9,2,0.3058,0.3400,78.660
2.5G,9,4,0.3018,0.3606,78.660
2.5G,9,6,0.2966,0.3846,78.660
2.5G,9,8,0.2912,0.4054,78.660
2.5G,9,10,0.2851,0.4275,78.660
2.5G,9,12,0.2786,0.4491,78.660
2.5G,9,14,0.2711,0.4726,78.660
2.5G,9,16,0.2630,0.4966,78.660
5G,1,2,0.2833,0.3564,1.210
5G,1,4,0.2290,0.4218,1.210
5G,1,6,0.1468,0.4996,1.210
5G,1,8,0.0559,0.5710,1.210
5G,2,2,0.2918,0.3450,3.126
5G,2,4,0.2640,0.3845,3.126
5G,2,6,0.2318,0.4231,3.126
5G,2,8,0.1979,0.4583,3.126
5G,2,10,0.1560,0.4981,3.126
5G,2,12,0.1120,0.5358,3.126
5G,2,14,0.0688,0.5691,3.126
5G,2,16,0.0277,0.5986,3.126
5G,3,2,0.2935,0.3439,6.555
5G,3,4,0.2711,0.3780,6.555
5G,3,6,0.2471,0.4100,6.555
5G,3,8,0.2228,0.4380,6.555
5G,3,10,0.1935,0.4682,6.555
5G,3,12,0.1660,0.4948,6.555
5G,3,14,0.1382,0.5197,6.555
5G,3,16,0.1120,0.5414,6.555
5G,3,18,0.0882,0.5605,6.555
5G,3,20,0.0620,0.5802,6.555
5G,3,22,0.0340,0.6011,6.555
5G,4,2,0.2959,0.3417,12.000
5G,4,4,0.2781,0.3704,12.000
5G,4,6,0.2581,0.3992,12.000
5G,4,8,0.2359,0.4266,12.000
5G,4,10,0.2115,0.4532,12.000
5G,4,12,0.1843,0.4807,12.000
5G,4,14,0.1627,0.5015,12.000
5G,4,16,0.1402,0.5214,12.000
5G,4,18,0.1188,0.5400,12.000
5G,4,20,0.1018,0.5543,12.000
5G,4,22,0.0841,0.5684,12.000
5G,4,24,0.0614,0.5857,12.000
5G,4,26,0.0407,0.6010,12.000
5G,5,2,0.2978,0.3392,19.770
5G,5,4,0.2841,0.3628,19.770
5G,5,6,0.2690,0.3860,19.770
5G,5,8,0.2511,0.4107,19.770
5G,5,10,0.2329,0.4331,19.770
5G,5,12,0.2104,0.4578,19.770
5G,5,14,0.1912,0.4773,19.770
5G,5,16,0.1695,0.4981,19.770
5G,5,18,0.1489,0.5171,19.770
5G,5,20,0.1318,0.5321,19.770
5G,5,22,0.1144,0.5463,19.770
5G,5,24,0.0953,0.5628,19.770
5G,5,26,0.0784,0.5761,19.770
5G,5,28,0.0609,0.5898,19.770
5G,6,2,0.2988,0.3382,30.050
5G,6,4,0.2868,0.3595,30.050
5G,6,6,0.2748,0.3795,30.050
5G,6,8,0.2612,0.3990,30.050
5G,6,10,0.2466,0.4181,30.050
5G,6,12,0.2293,0.4390,30.050
5G,6,14,0.2130,0.4571,30.050
5G,6,16,0.1960,0.4751,30.050
5G,6,18,0.1785,0.4924,30.050
5G,6,20,0.1609,0.5091,30.050
5G,6,22,0.1432,0.5252,30.050
5G,6,24,0.1252,0.5408,30.050
5G,6,26,0.1079,0.5560,30.050
5G,6,28,0.0908,0.5695,30.050
5G,7,2,0.3001,0.3366,43.060
5G,7,4,0.2902,0.3548,43.060
5G,7,6,0.2801,0.3721,43.060
5G,7,8,0.2687,0.3901,43.060
5G,7,10,0.2554,0.4087,43.060
5G,7,12,0.2416,0.4267,43.060
5G,7,14,0.2262,0.4450,43.060
5G,7,16,0.2111,0.4616,43.060
5G,7,18,0.1967,0.4771,43.060
5G,7,20,0.1805,0.4933,43.060
5G,7,22,0.1659,0.5074,43.060
5G,7,24,0.1521,0.5200,43.060
5G,7,26,0.1397,0.5312,43.060
5G,8,2,0.3009,0.3359,59.100
5G,8,4,0.2924,0.3523,59.100
5G,8,6,0.2822,0.3702,59.100
5G,8,8,0.2723,0.3865,59.100
5G,8,10,0.2613,0.4026,59.100
5G,8,12,0.2489,0.4191,59.100
5G,8,14,0.2368,0.4348,59.100
5G,8,16,0.2240,0.4500,59.100
5G,8,18,0.2103,0.4652,59.100
5G,8,20,0.1956,0.4806,59.100
5G,8,22,0.1821,0.4940,59.100
5G,9,2,0.3017,0.3357,78.660
5G,9,4,0.2933,0.3519,78.660
5G,9,6,0.2832,0.3697,78.660
5G,9,8,0.2735,0.3854,78.660
5G,9,10,0.2639,0.4001,78.660
5G,9,12,0.2528,0.4160,78.660
7.5G,1,2,0.2758,0.3484,1.210
7.5G,1,4,0.2159,0.3967,1.210
7.5G,1,6,0.1344,0.4505,1.210
7.5G,1,8,0.0530,0.4943,1.210
7.5G,2,2,0.2869,0.3400,3.126
7.5G,2,4,0.2540,0.3705,3.126
7.5G,2,6,0.2200,0.3983,3.126
7.5G,2,8,0.1842,0.4244,3.126
7.5G,2,10,0.1442,0.4505,3.126
7.5G,2,12,0.1022,0.4759,3.126
7.5G,2,14,0.0629,0.4973,3.126
7.5G,2,16,0.0276,0.5153,3.126
7.5G,3,2,0.2890,0.3391,6.555
7.5G,3,4,0.2618,0.3667,6.555
7.5G,3,6,0.2346,0.3901,6.555
7.5G,3,8,0.2088,0.4101,6.555
7.5G,3,10,0.1800,0.4310,6.555
7.5G,3,12,0.1516,0.4505,6.555
7.5G,3,14,0.1262,0.4667,6.555
7.5G,3,16,0.1023,0.4818,6.555
7.5G,3,18,0.0798,0.4954,6.555
7.5G,3,20,0.0568,0.5082,6.555
7.5G,3,22,0.0332,0.5206,6.555
7.5G,4,2,0.2919,0.3371,12.000
7.5G,4,4,0.2702,0.3602,12.000
7.5G,4,6,0.2467,0.3822,12.000
7.5G,4,8,0.2232,0.4022,12.000
7.5G,4,10,0.1989,0.4219,12.000
7.5G,4,12,0.1706,0.4419,12.000
7.5G,4,14,0.1500,0.4562,12.000
7.5G,4,16,0.1293,0.4703,12.000
7.5G,4,18,0.1086,0.4842,12.000
7.5G,4,20,0.0928,0.4942,12.000
7.5G,4,22,0.0770,0.5040,12.000
7.5G,4,24,0.0581,0.5151,12.000
7.5G,4,26,0.0392,0.5258,12.000
7.5G,5,2,0.2945,0.3355,19.770
7.5G,5,4,0.2775,0.3545,19.770
7.5G,5,6,0.2598,0.3724,19.770
7.5G,5,8,0.2395,0.3915,19.770
7.5G,5,10,0.2200,0.4082,19.770
7.5G,5,12,0.1964,0.4271,19.770
7.5G,5,14,0.1776,0.4415,19.770
7.5G,5,16,0.1571,0.4561,19.770
