h,V,C,x,y,Y
2.5GY,1,2,0.3540,0.4088,1.210
2.5GY,2,2,0.3421,0.3803,3.126
2.5GY,2,4,0.3881,0.4752,3.126
2.5GY,3,2,0.3412,0.3768,6.555
2.5GY,3,4,0.3772,0.4484,6.555
2.5GY,3,6,0.4069,0.5110,6.555
2.5GY,4,2,0.3382,0.3706,12.000
2.5GY,4,4,0.3708,0.4329,12.000
2.5GY,4,6,0.3968,0.4857,12.000
2.5GY,4,8,0.4174,0.5300,12.000
2.5GY,5,2,0.3352,0.3636,19.770
2.5GY,5,4,0.3621,0.4143,19.770
2.5GY,5,6,0.3879,0.4646,19.770
2.5GY,5,8,0.4088,0.5068,19.770
2.5GY,5,10,0.4224,0.5369,19.770
2.5GY,5,12,0.4333,0.5602,19.770
2.5GY,6,2,0.3342,0.3607,30.050
2.5GY,6,4,0.3572,0.4038,30.050
2.5GY,6,6,0.3799,0.4470,30.050
2.5GY,6,8,0.4006,0.4885,30.050
2.5GY,6,10,0.4159,0.5190,30.050
2.5GY,6,12,0.4269,0.5414,30.050
2.5GY,6,14,0.4354,0.5594,30.050
2.5GY,7,2,0.3328,0.3569,43.060
2.5GY,7,4,0.3534,0.3953,43.060
2.5GY,7,6,0.3728,0.4316,43.060
2.5GY,7,8,0.3919,0.4684,43.060
2.5GY,7,10,0.4091,0.5030,43.060
2.5GY,7,12,0.4213,0.5270,43.060
2.5GY,7,14,0.4309,0.5459,43.060
2.5GY,7,16,0.4366,0.5578,43.060
2.5GY,8,2,0.3327,0.3555,59.100
2.5GY,8,4,0.3504,0.3887,59.100
2.5GY,8,6,0.3690,0.4230,59.100
2.5GY,8,8,0.3858,0.4550,59.100
2.5GY,8,10,0.4021,0.4869,59.100
2.5GY,8,12,0.4154,0.5133,59.100
2.5GY,8,14,0.4261,0.5344,59.100
2.5GY,8,16,0.4327,0.5475,59.100
2.5GY,8,18,0.4371,0.5557,59.100
2.5GY,9,2,0.3321,0.3539,78.660
2.5GY,9,4,0.3499,0.3866,78.660
2.5GY,9,6,0.3670,0.4178,78.660
2.5GY,9,8,0.3834,0.4490,78.660
2.5GY,9,10,0.3973,0.4761,78.660
2.5GY,9,12,0.4108,0.5028,78.660
2.5GY,9,14,0.4212,0.5237,78.660
2.5GY,9,16,0.4288,0.5383,78.660
2.5GY,9,18,0.4354,0.5508,78.660
5GY,1,2,0.3359,0.3982,1.210
5GY,1,4,0.3765,0.5942,1.210
5GY,2,2,0.3309,0.3743,3.126
5GY,2,4,0.3582,0.4650,3.126
5GY,2,6,0.3839,0.5748,3.126
5GY,3,2,0.3319,0.3729,6.555
5GY,3,4,0.3554,0.4429,6.555
5GY,3,6,0.3750,0.5109,6.555
5GY,3,8,0.3924,0.5832,6.555
5GY,4,2,0.3312,0.3678,12.000
5GY,4,4,0.3538,0.4284,12.000
5GY,4,6,0.3718,0.4852,12.000
5GY,4,8,0.3868,0.5384,12.000
5GY,4,10,0.3983,0.5850,12.000
5GY,5,2,0.3289,0.3612,19.770
5GY,5,4,0.3482,0.4097,19.770
5GY,5,6,0.3663,0.4614,19.770
5GY,5,8,0.3815,0.5093,19.770
5GY,5,10,0.3928,0.5485,19.770
5GY,5,12,0.4011,0.5802,19.770
5GY,6,2,0.3288,0.3592,30.050
5GY,6,4,0.3461,0.4008,30.050
5GY,6,6,0.3622,0.4438,30.050
5GY,6,8,0.3772,0.4880,30.050
5GY,6,10,0.3891,0.5264,30.050
5GY,6,12,0.3980,0.5564,30.050
5GY,6,14,0.4042,0.5788,30.050
5GY,7,2,0.3284,0.3559,43.060
5GY,7,4,0.3437,0.3929,43.060
5GY,7,6,0.3581,0.4291,43.060
5GY,7,8,0.3722,0.4669,43.060
5GY,7,10,0.3852,0.5051,43.060
5GY,7,12,0.3949,0.5367,43.060
5GY,7,14,0.4027,0.5615,43.060
5GY,7,16,0.4076,0.5783,43.060
5GY,8,2,0.3284,0.3542,59.100
5GY,8,4,0.3433,0.3872,59.100
5GY,8,6,0.3573,0.4214,59.100
5GY,8,8,0.3696,0.4542,59.100
5GY,8,10,0.3816,0.4879,59.100
5GY,8,12,0.3924,0.5199,59.100
5GY,8,14,0.4011,0.5468,59.100
5GY,8,16,0.4061,0.5641,59.100
5GY,8,18,0.4104,0.5785,59.100
5GY,8,20,0.4127,0.5855,59.100
5GY,9,2,0.3284,0.3534,78.660
5GY,9,4,0.3437,0.3861,78.660
5GY,9,6,0.3572,0.4179,78.660
5GY,9,8,0.3698,0.4497,78.660
5GY,9,10,0.3810,0.4791,78.660
5GY,9,12,0.3911,0.5082,78.660
5GY,9,14,0.3993,0.5329,78.660
5GY,9,16,0.4058,0.5541,78.660
5GY,9,18,0.4108,0.5699,78.660
7.5GY,1,2,0.3154,0.3840,1.210
7.5GY,1,4,0.3133,0.5380,1.210
7.5GY,2,2,0.3165,0.3650,3.126
7.5GY,2,4,0.3248,0.4457,3.126
7.5GY,2,6,0.3260,0.5379,3.126
7.5GY,2,8,0.3160,0.6509,3.126
