h,V,C,x,y,Y
2.5P,1,2,0.2808,0.2296,1.210
2.5P,1,4,0.2668,0.1874,1.210
2.5P,1,6,0.2570,0.1559,1.210
2.5P,1,8,0.2496,0.1303,1.210
2.5P,1,10,0.2441,0.1112,1.210
2.5P,1,12,0.2394,0.0940,1.210
2.5P,1,14,0.2361,0.0810,1.210
2.5P,1,16,0.2331,0.0696,1.210
2.5P,1,18,0.2312,0.0618,1.210
2.5P,1,20,0.2295,0.0542,1.210
2.5P,1,22,0.2279,0.0473,1.210
2.5P,1,24,0.2266,0.0418,1.210
2.5P,1,26,0.2251,0.0355,1.210
2.5P,2,2,0.2892,0.2583,3.126
2.5P,2,4,0.2758,0.2208,3.126
2.5P,2,6,0.2661,0.1921,3.126
2.5P,2,8,0.2570,0.1635,3.126
2.5P,2,10,0.2501,0.1422,3.126
2.5P,2,12,0.2449,0.1245,3.126
2.5P,2,14,0.2406,0.1100,3.126
2.5P,2,16,0.2372,0.0980,3.126
2.5P,2,18,0.2345,0.0873,3.126
2.5P,2,20,0.2320,0.0779,3.126
2.5P,2,22,0.2298,0.0696,3.126
2.5P,2,24,0.2277,0.0621,3.126
2.5P,2,26,0.2260,0.0555,3.126
2.5P,2,28,0.2245,0.0491,3.126
2.5P,2,30,0.2231,0.0432,3.126
2.5P,3,2,0.2922,0.2680,6.555
2.5P,3,4,0.2792,0.2342,6.555
2.5P,3,6,0.2691,0.2072,6.555
2.5P,3,8,0.2615,0.1845,6.555
2.5P,3,10,0.2548,0.1638,6.555
2.5P,3,12,0.2498,0.1480,6.555
2.5P,3,14,0.2449,0.1325,6.555
2.5P,3,16,0.2410,0.1198,6.555
2.5P,3,18,0.2380,0.1094,6.555
2.5P,3,20,0.2354,0.1003,6.555
2.5P,3,22,0.2329,0.0911,6.555
2.5P,3,24,0.2305,0.0832,6.555
2.5P,3,26,0.2286,0.0765,6.555
2.5P,3,28,0.2268,0.0698,6.555
2.5P,3,30,0.2252,0.0638,6.555
2.5P,3,32,0.2242,0.0587,6.555
2.5P,3,34,0.2230,0.0543,6.555
2.5P,4,2,0.2962,0.2807,12.000
2.5P,4,4,0.2855,0.2531,12.000
2.5P,4,6,0.2763,0.2300,12.000
2.5P,4,8,0.2685,0.2089,12.000
2.5P,4,10,0.2619,0.1903,12.000
2.5P,4,12,0.2559,0.1730,12.000
2.5P,4,14,0.2509,0.1585,12.000
2.5P,4,16,0.2467,0.1452,12.000
2.5P,4,18,0.2430,0.1332,12.000
2.5P,4,20,0.2394,0.1221,12.000
2.5P,4,22,0.2371,0.1143,12.000
2.5P,4,24,0.2348,0.1062,12.000
2.5P,4,26,0.2322,0.0978,12.000
2.5P,4,28,0.2302,0.0909,12.000
2.5P,4,30,0.2285,0.0847,12.000
2.5P,4,32,0.2265,0.0774,12.000
2.5P,5,2,0.3000,0.2912,19.770
2.5P,5,4,0.2898,0.2667,19.770
2.5P,5,6,0.2806,0.2444,19.770
2.5P,5,8,0.2728,0.2240,19.770
2.5P,5,10,0.2665,0.2075,19.770
2.5P,5,12,0.2608,0.1913,19.770
2.5P,5,14,0.2560,0.1774,19.770
2.5P,5,16,0.2515,0.1644,19.770
2.5P,5,18,0.2476,0.1532,19.770
2.5P,5,20,0.2438,0.1419,19.770
2.5P,5,22,0.2402,0.1315,19.770
2.5P,5,24,0.2372,0.1223,19.770
2.5P,5,26,0.2348,0.1140,19.770
2.5P,6,2,0.3016,0.2960,30.050
2.5P,6,4,0.2932,0.2759,30.050
2.5P,6,6,0.2842,0.2550,30.050
2.5P,6,8,0.2770,0.2372,30.050
2.5P,6,10,0.2703,0.2204,30.050
2.5P,6,12,0.2647,0.2052,30.050
2.5P,6,14,0.2593,0.1909,30.050
2.5P,6,16,0.2548,0.1768,30.050
2.5P,6,18,0.2504,0.1658,30.050
2.5P,7,2,0.3031,0.3000,43.060
2.5P,7,4,0.2950,0.2810,43.060
2.5P,7,6,0.2873,0.2633,43.060
2.5P,7,8,0.2799,0.2459,43.060
2.5P,7,10,0.2729,0.2289,43.060
2.5P,7,12,0.2664,0.2127,43.060
2.5P,8,2,0.3048,0.3040,59.100
2.5P,8,4,0.2962,0.2850,59.100
2.5P,8,6,0.2881,0.2671,59.100
2.5P,8,8,0.2800,0.2488,59.100
2.5P,9,2,0.3050,0.3051,78.660
2.5P,9,4,0.2963,0.2865,78.660
5P,1,2,0.2936,0.2330,1.210
5P,1,4,0.2854,0.1927,1.210
5P,1,6,0.2794,0.1628,1.210
5P,1,8,0.2742,0.1375,1.210
5P,1,10,0.2701,0.1178,1.210
5P,1,12,0.2670,0.1006,1.210
5P,1,14,0.2645,0.0863,1.210
5P,1,16,0.2625,0.0746,1.210
5P,1,18,0.2612,0.0667,1.210
5P,1,20,0.2601,0.0586,1.210
5P,1,22,0.2590,0.0509,1.210
5P,2,2,0.2984,0.2612,3.126
5P,2,4,0.2908,0.2261,3.126
5P,2,6,0.2850,0.1992,3.126
5P,2,8,0.2791,0.1707,3.126
5P,2,10,0.2748,0.1500,3.126
5P,2,12,0.2709,0.1320,3.126
5P,2,14,0.2676,0.1163,3.126
5P,2,16,0.2652,0.1045,3.126
5P,2,18,0.2632,0.0935,3.126
5P,2,20,0.2612,0.0838,3.126
5P,2,22,0.2597,0.0750,3.126
5P,2,24,0.2582,0.0669,3.126
5P,2,26,0.2569,0.0594,3.126
5P,2,28,0.2559,0.0525,3.126
5P,3,2,0.2997,0.2700,6.555
5P,3,4,0.2928,0.2386,6.555
5P,3,6,0.2870,0.2135,6.555
5P,3,8,0.2819,0.1910,6.555
5P,3,10,0.2772,0.1707,6.555
5P,3,12,0.2739,0.1539,6.555
5P,3,14,0.2707,0.1397,6.555
5P,3,16,0.2680,0.1272,6.555
5P,3,18,0.2657,0.1163,6.555
5P,3,20,0.2639,0.1074,6.555
5P,3,22,0.2620,0.0978,6.555
5P,3,24,0.2602,0.0891,6.555
5P,3,26,0.2590,0.0822,6.555
5P,3,28,0.2579,0.0750,6.555
5P,3,30,0.2568,0.0690,6.555
5P,3,32,0.2557,0.0630,6.555
5P,4,2,0.3022,0.2825,12.000
5P,4,4,0.2958,0.2565,12.000
5P,4,6,0.2903,0.2347,12.000
5P,4,8,0.2855,0.2150,12.000
5P,4,10,0.2814,0.1967,12.000
5P,4,12,0.2778,0.1808,12.000
5P,4,14,0.2747,0.1660,12.000
5P,4,16,0.2718,0.1520,12.000
5P,4,18,0.2693,0.1408,12.000
5P,4,20,0.2670,0.1300,12.000
5P,4,22,0.2652,0.1218,12.000
5P,4,24,0.2635,0.1132,12.000
5P,4,26,0.2618,0.1052,12.000
5P,4,28,0.2600,0.0971,12.000
5P,4,30,0.2588,0.0907,12.000
5P,4,32,0.2574,0.0833,12.000
5P,5,2,0.3045,0.2928,19.770
5P,5,4,0.2986,0.2699,19.770
5P,5,6,0.2932,0.2487,19.770
5P,5,8,0.2885,0.2296,19.770
5P,5,10,0.2845,0.2137,19.770
5P,5,12,0.2806,0.1977,19.770
5P,5,14,0.2775,0.1847,19.770
5P,5,16,0.2744,0.1718,19.770
5P,5,18,0.2718,0.1604,19.770
5P,5,20,0.2694,0.1499,19.770
5P,5,22,0.2673,0.1398,19.770
5P,5,24,0.2652,0.1304,19.770
5P,5,26,0.2635,0.1224,19.770
5P,5,28,0.2618,0.1135,19.770
5P,6,2,0.3050,0.2967,30.050
5P,6,4,0.3001,0.2778,30.050
5P,6,6,0.2950,0.2585,30.050
5P,6,8,0.2905,0.2421,30.050
5P,6,10,0.2862,0.2260,30.050
5P,6,12,0.2829,0.2121,30.050
5P,6,14,0.2794,0.1979,30.050
5P,6,16,0.2761,0.1852,30.050
5P,6,18,0.2731,0.1738,30.050
5P,6,20,0.2702,0.1621,30.050
5P,7,2,0.3059,0.3010,43.060
5P,7,4,0.3009,0.2831,43.060
5P,7,6,0.2961,0.2663,43.060
5P,7,8,0.2918,0.2504,43.060
5P,7,10,0.2872,0.2343,43.060
5P,7,12,0.2833,0.2197,43.060
5P,7,14,0.2801,0.2068,43.060
5P,8,2,0.3065,0.3047,59.100
5P,8,4,0.3012,0.2868,59.100
5P,8,6,0.2963,0.2704,59.100
5P,8,8,0.2914,0.2534,59.100
5P,8,10,0.2870,0.2380,59.100
5P,9,2,0.3067,0.3060,78.660
