h,V,C,x,y,Y
2.5PB,1,2,0.2360,0.2420,1.210
2.5PB,1,4,0.1895,0.1911,1.210
2.5PB,1,6,0.1539,0.1491,1.210
2.5PB,1,8,0.1273,0.1157,1.210
2.5PB,2,2,0.2592,0.2675,3.126
2.5PB,2,4,0.2175,0.2245,3.126
2.5PB,2,6,0.1825,0.1857,3.126
2.5PB,2,8,0.1540,0.1530,3.126
2.5PB,2,10,0.1332,0.1278,3.126
2.5PB,2,12,0.1166,0.1076,3.126
2.5PB,3,2,0.2663,0.2756,6.555
2.5PB,3,4,0.2312,0.2405,6.555
2.5PB,3,6,0.2022,0.2101,6.555
2.5PB,3,8,0.1780,0.1833,6.555
2.5PB,3,10,0.1576,0.1600,6.555
2.5PB,3,12,0.1398,0.1395,6.555
2.5PB,3,14,0.1251,0.1218,6.555
2.5PB,4,2,0.2782,0.2876,12.000
2.5PB,4,4,0.2487,0.2597,12.000
2.5PB,4,6,0.2235,0.2343,12.000
2.5PB,4,8,0.1995,0.2094,12.000
2.5PB,4,10,0.1805,0.1888,12.000
2.5PB,4,12,0.1634,0.1698,12.000
2.5PB,4,14,0.1473,0.1513,12.000
2.5PB,4,16,0.1336,0.1349,12.000
2.5PB,4,18,0.1218,0.1208,12.000
2.5PB,5,2,0.2847,0.2942,19.770
2.5PB,5,4,0.2600,0.2720,19.770
2.5PB,5,6,0.2365,0.2488,19.770
2.5PB,5,8,0.2157,0.2278,19.770
2.5PB,5,10,0.1968,0.2078,19.770
2.5PB,5,12,0.1793,0.1894,19.770
2.5PB,5,14,0.1642,0.1728,19.770
2.5PB,5,16,0.1495,0.1559,19.770
2.5PB,5,18,0.1363,0.1410,19.770
2.5PB,6,2,0.2897,0.2991,30.050
2.5PB,6,4,0.2684,0.2804,30.050
2.5PB,6,6,0.2465,0.2599,30.050
2.5PB,6,8,0.2274,0.2406,30.050
2.5PB,6,10,0.2095,0.2225,30.050
2.5PB,6,12,0.1913,0.2038,30.050
2.5PB,6,14,0.1754,0.1868,30.050
2.5PB,7,2,0.2932,0.3025,43.060
2.5PB,7,4,0.2729,0.2848,43.060
2.5PB,7,6,0.2538,0.2677,43.060
2.5PB,7,8,0.2352,0.2498,43.060
2.5PB,7,10,0.2162,0.2309,43.060
2.5PB,8,2,0.2957,0.3047,59.100
2.5PB,8,4,0.2758,0.2879,59.100
2.5PB,8,6,0.2562,0.2709,59.100
2.5PB,9,2,0.2975,0.3063,78.660
5PB,1,2,0.2427,0.2368,1.210
5PB,1,4,0.2012,0.1867,1.210
5PB,1,6,0.1678,0.1447,1.210
5PB,1,8,0.1447,0.1124,1.210
5PB,1,10,0.1285,0.0870,1.210
5PB,2,2,0.2638,0.2624,3.126
5PB,2,4,0.2263,0.2192,3.126
5PB,2,6,0.1942,0.1811,3.126
5PB,2,8,0.1685,0.1491,3.126
5PB,2,10,0.1500,0.1240,3.126
5PB,2,12,0.1363,0.1048,3.126
5PB,2,14,0.1253,0.0873,3.126
5PB,3,2,0.2708,0.2719,6.555
5PB,3,4,0.2393,0.2361,6.555
5PB,3,6,0.2122,0.2052,6.555
5PB,3,8,0.1908,0.1799,6.555
5PB,3,10,0.1718,0.1562,6.555
5PB,3,12,0.1557,0.1356,6.555
5PB,3,14,0.1431,0.1184,6.555
5PB,3,16,0.1318,0.1024,6.555
5PB,3,18,0.1228,0.0895,6.555
5PB,4,2,0.2816,0.2842,12.000
5PB,4,4,0.2562,0.2560,12.000
5PB,4,6,0.2325,0.2300,12.000
5PB,4,8,0.2103,0.2050,12.000
5PB,4,10,0.1925,0.1843,12.000
5PB,4,12,0.1773,0.1659,12.000
5PB,4,14,0.1627,0.1479,12.000
5PB,4,16,0.1504,0.1317,12.000
5PB,4,18,0.1392,0.1167,12.000
5PB,4,20,0.1288,0.1027,12.000
5PB,5,2,0.2882,0.2923,19.770
5PB,5,4,0.2662,0.2687,19.770
5PB,5,6,0.2447,0.2449,19.770
5PB,5,8,0.2255,0.2239,19.770
5PB,5,10,0.2080,0.2041,19.770
5PB,5,12,0.1918,0.1858,19.770
5PB,5,14,0.1773,0.1689,19.770
5PB,5,16,0.1638,0.1521,19.770
5PB,5,18,0.1518,0.1365,19.770
5PB,6,2,0.2923,0.2978,30.050
5PB,6,4,0.2734,0.2778,30.050
5PB,6,6,0.2533,0.2558,30.050
5PB,6,8,0.2360,0.2365,30.050
5PB,6,10,0.2197,0.2188,30.050
5PB,6,12,0.2026,0.1999,30.050
5PB,6,14,0.1873,0.1822,30.050
5PB,7,2,0.2952,0.3011,43.060
5PB,7,4,0.2773,0.2828,43.060
5PB,7,6,0.2596,0.2643,43.060
5PB,7,8,0.2427,0.2458,43.060
5PB,7,10,0.2254,0.2267,43.060
5PB,8,2,0.2974,0.3039,59.100
5PB,8,4,0.2798,0.2861,59.100
5PB,8,6,0.2614,0.2670,59.100
5PB,9,2,0.2991,0.3057,78.660
7.5PB,1,2,0.2547,0.2310,1.210
7.5PB,1,4,0.2232,0.1821,1.210
7.5PB,1,6,0.2000,0.1422,1.210
7.5PB,1,8,0.1872,0.1141,1.210
7.5PB,1,10,0.1804,0.0950,1.210
7.5PB,1,12,0.1763,0.0804,1.210
7.5PB,1,14,0.1738,0.0688,1.210
7.5PB,1,16,0.1720,0.0583,1.210
7.5PB,1,18,0.1709,0.0518,1.210
7.5PB,1,20,0.1701,0.0454,1.210
7.5PB,1,22,0.1696,0.0402,1.210
7.5PB,1,24,0.1691,0.0352,1.210
7.5PB,1,26,0.1689,0.0309,1.210
7.5PB,1,28,0.1686,0.0270,1.210
7.5PB,1,30,0.1684,0.0234,1.210
7.5PB,1,32,0.1682,0.0202,1.210
7.5PB,1,34,0.1682,0.0180,1.210
7.5PB,1,36,0.1681,0.0160,1.210
7.5PB,1,38,0.1680,0.0140,1.210
7.5PB,2,2,0.2712,0.2582,3.126
7.5PB,2,4,0.2420,0.2148,3.126
7.5PB,2,6,0.2189,0.1790,3.126
7.5PB,2,8,0.2005,0.1495,3.126
7.5PB,2,10,0.1882,0.1258,3.126
7.5PB,2,12,0.1813,0.1094,3.126
7.5PB,2,14,0.1762,0.0955,3.126
7.5PB,2,16,0.1728,0.0839,3.126
7.5PB,2,18,0.1701,0.0742,3.126
7.5PB,2,20,0.1685,0.0666,3.126
7.5PB,2,22,0.1670,0.0594,3.126
7.5PB,2,24,0.1660,0.0538,3.126
7.5PB,2,26,0.1653,0.0492,3.126
7.5PB,2,28,0.1647,0.0451,3.126
7.5PB,2,30,0.1640,0.0409,3.126
7.5PB,2,32,0.1635,0.0373,3.126
7.5PB,2,34,0.1630,0.0340,3.126
7.5PB,2,36,0.1628,0.0310,3.126
7.5PB,2,38,0.1623,0.0280,3.126
7.5PB,3,2,0.2777,0.2687,6.555
7.5PB,3,4,0.2520,0.2319,6.555
7.5PB,3,6,0.2311,0.2010,6.555
7.5PB,3,8,0.2149,0.1761,6.555
7.5PB,3,10,0.2005,0.1536,6.555
7.5PB,3,12,0.1903,0.1353,6.555
7.5PB,3,14,0.1824,0.1188,6.555
7.5PB,3,16,0.1765,0.1048,6.555
7.5PB,3,18,0.1730,0.0948,6.555
7.5PB,3,20,0.1702,0.0867,6.555
7.5PB,3,22,0.1677,0.0782,6.555
7.5PB,3,24,0.1658,0.0711,6.555
7.5PB,3,26,0.1642,0.0655,6.555
7.5PB,3,28,0.1632,0.0609,6.555
7.5PB,3,30,0.1621,0.0556,6.555
7.5PB,3,32,0.1612,0.0511,6.555
7.5PB,3,34,0.1608,0.0480,6.555
7.5PB,4,2,0.2861,0.2819,12.000
7.5PB,4,4,0.2657,0.2528,12.000
7.5PB,4,6,0.2471,0.2266,12.000
7.5PB,4,8,0.2304,0.2023,12.000
