h,V,C,x,y,Y
2.5R,1,2,0.3768,0.2816,1.210
2.5R,1,4,0.4166,0.2569,1.210
2.5R,1,6,0.4515,0.2329,1.210
2.5R,1,8,0.4812,0.2103,1.210
2.5R,1,10,0.5058,0.1900,1.210
2.5R,2,2,0.3614,0.3033,3.126
2.5R,2,4,0.4021,0.2900,3.126
2.5R,2,6,0.4390,0.2760,3.126
2.5R,2,8,0.4776,0.2593,3.126
2.5R,2,10,0.5122,0.2428,3.126
2.5R,2,12,0.5438,0.2254,3.126
2.5R,2,14,0.5734,0.2083,3.126
2.5R,3,2,0.3591,0.3130,6.555
2.5R,3,4,0.4021,0.3076,6.555
2.5R,3,6,0.4409,0.3009,6.555
2.5R,3,8,0.4821,0.2918,6.555
2.5R,3,10,0.5191,0.2811,6.555
2.5R,3,12,0.5536,0.2691,6.555
2.5R,3,14,0.5828,0.2579,6.555
2.5R,3,16,0.6116,0.2456,6.555
2.5R,4,2,0.3461,0.3150,12.000
2.5R,4,4,0.3806,0.3125,12.000
2.5R,4,6,0.4141,0.3085,12.000
2.5R,4,8,0.4472,0.3031,12.000
2.5R,4,10,0.4774,0.2969,12.000
2.5R,4,12,0.5072,0.2897,12.000
2.5R,4,14,0.5369,0.2810,12.000
2.5R,4,16,0.5620,0.2724,12.000
2.5R,4,18,0.5898,0.2622,12.000
2.5R,5,2,0.3360,0.3158,19.770
2.5R,5,4,0.3660,0.3148,19.770
2.5R,5,6,0.3960,0.3130,19.770
2.5R,5,8,0.4252,0.3101,19.770
2.5R,5,10,0.4533,0.3058,19.770
2.5R,5,12,0.4820,0.3002,19.770
2.5R,5,14,0.5047,0.2950,19.770
2.5R,5,16,0.5300,0.2880,19.770
2.5R,5,18,0.5540,0.2804,19.770
2.5R,5,20,0.5784,0.2719,19.770
2.5R,6,2,0.3318,0.3166,30.050
2.5R,6,4,0.3566,0.3163,30.050
2.5R,6,6,0.3832,0.3158,30.050
2.5R,6,8,0.4065,0.3144,30.050
2.5R,6,10,0.4320,0.3118,30.050
2.5R,6,12,0.4568,0.3082,30.050
2.5R,6,14,0.4790,0.3041,30.050
2.5R,6,16,0.5041,0.2983,30.050
2.5R,6,18,0.5262,0.2928,30.050
2.5R,7,2,0.3284,0.3170,43.060
2.5R,7,4,0.3499,0.3171,43.060
2.5R,7,6,0.3728,0.3170,43.060
2.5R,7,8,0.3961,0.3160,43.060
2.5R,7,10,0.4183,0.3144,43.060
2.5R,7,12,0.4435,0.3119,43.060
2.5R,7,14,0.4660,0.3082,43.060
2.5R,7,16,0.4885,0.3039,43.060
2.5R,8,2,0.3236,0.3169,59.100
2.5R,8,4,0.3460,0.3177,59.100
2.5R,8,6,0.3671,0.3175,59.100
2.5R,8,8,0.3900,0.3171,59.100
2.5R,8,10,0.4125,0.3160,59.100
2.5R,9,2,0.3210,0.3168,78.660
2.5R,9,4,0.3445,0.3179,78.660
2.5R,9,6,0.3665,0.3183,78.660
5R,1,2,0.3908,0.2929,1.210
5R,1,4,0.4420,0.2728,1.210
5R,1,6,0.4885,0.2515,1.210
5R,1,8,0.5282,0.2297,1.210
5R,1,10,0.5604,0.2100,1.210
5R,2,2,0.3692,0.3111,3.126
5R,2,4,0.4184,0.3032,3.126
5R,2,6,0.4642,0.2934,3.126
5R,2,8,0.5143,0.2800,3.126
5R,2,10,0.5557,0.2633,3.126
5R,2,12,0.5930,0.2465,3.126
5R,2,14,0.6302,0.2287,3.126
5R,3,2,0.3645,0.3190,6.555
5R,3,4,0.4148,0.3190,6.555
5R,3,6,0.4592,0.3168,6.555
5R,3,8,0.5064,0.3114,6.555
5R,3,10,0.5500,0.3024,6.555
5R,3,12,0.5884,0.2904,6.555
5R,3,14,0.6204,0.2789,6.555
5R,3,16,0.6520,0.2660,6.555
5R,4,2,0.3508,0.3200,12.000
5R,4,4,0.3916,0.3223,12.000
5R,4,6,0.4299,0.3226,12.000
5R,4,8,0.4690,0.3209,12.000
5R,4,10,0.5043,0.3176,12.000
5R,4,12,0.5385,0.3129,12.000
5R,4,14,0.5734,0.3057,12.000
5R,4,16,0.6039,0.2978,12.000
5R,4,18,0.6329,0.2881,12.000
5R,5,2,0.3392,0.3192,19.770
5R,5,4,0.3740,0.3220,19.770
5R,5,6,0.4078,0.3238,19.770
5R,5,8,0.4413,0.3240,19.770
5R,5,10,0.4747,0.3227,19.770
5R,5,12,0.5071,0.3194,19.770
5R,5,14,0.5341,0.3158,19.770
5R,5,16,0.5637,0.3102,19.770
5R,5,18,0.5918,0.3038,19.770
5R,5,20,0.6142,0.2970,19.770
5R,6,2,0.3343,0.3190,30.050
5R,6,4,0.3628,0.3221,30.050
5R,6,6,0.3921,0.3244,30.050
5R,6,8,0.4187,0.3251,30.050
5R,6,10,0.4480,0.3250,30.050
5R,6,12,0.4760,0.3234,30.050
5R,6,14,0.5020,0.3212,30.050
5R,6,16,0.5297,0.3179,30.050
5R,6,18,0.5552,0.3138,30.050
5R,7,2,0.3306,0.3190,43.060
5R,7,4,0.3552,0.3222,43.060
5R,7,6,0.3805,0.3244,43.060
5R,7,8,0.4067,0.3256,43.060
5R,7,10,0.4320,0.3260,43.060
5R,7,12,0.4595,0.3252,43.060
5R,7,14,0.4848,0.3238,43.060
5R,8,2,0.3254,0.3186,59.100
5R,8,4,0.3510,0.3224,59.100
5R,8,6,0.3743,0.3248,59.100
5R,8,8,0.4001,0.3263,59.100
5R,8,10,0.4249,0.3270,59.100
5R,9,2,0.3240,0.3188,78.660
5R,9,4,0.3495,0.3226,78.660
5R,9,6,0.3734,0.3256,78.660
7.5R,1,2,0.4020,0.3034,1.210
7.5R,1,4,0.4660,0.2888,1.210
7.5R,1,6,0.5235,0.2698,1.210
7.5R,1,8,0.5722,0.2487,1.210
7.5R,1,10,0.6111,0.2290,1.210
7.5R,2,2,0.3751,0.3181,3.126
7.5R,2,4,0.4335,0.3169,3.126
7.5R,2,6,0.4875,0.3123,3.126
7.5R,2,8,0.5433,0.3027,3.126
7.5R,2,10,0.5952,0.2874,3.126
7.5R,2,12,0.6392,0.2704,3.126
7.5R,2,14,0.6791,0.2520,3.126
7.5R,3,2,0.3690,0.3248,6.555
7.5R,3,4,0.4240,0.3302,6.555
7.5R,3,6,0.4738,0.3316,6.555
7.5R,3,8,0.5251,0.3297,6.555
7.5R,3,10,0.5730,0.3240,6.555
7.5R,3,12,0.6158,0.3129,6.555
7.5R,3,14,0.6492,0.3012,6.555
7.5R,3,16,0.6817,0.2872,6.555
7.5R,4,2,0.3538,0.3236,12.000
7.5R,4,4,0.3990,0.3300,12.000
7.5R,4,6,0.4415,0.3340,12.000
7.5R,4,8,0.4850,0.3359,12.000
7.5R,4,10,0.5235,0.3351,12.000
7.5R,4,12,0.5603,0.3321,12.000
7.5R,4,14,0.5959,0.3269,12.000
7.5R,4,16,0.6260,0.3192,12.000
7.5R,4,18,0.6538,0.3100,12.000
7.5R,4,20,0.6806,0.2988,12.000
7.5R,5,2,0.3425,0.3229,19.770
7.5R,5,4,0.3806,0.3294,19.770
7.5R,5,6,0.4180,0.3348,19.770
7.5R,5,8,0.4563,0.3387,19.770
7.5R,5,10,0.4927,0.3399,19.770
7.5R,5,12,0.5280,0.3389,19.770
7.5R,5,14,0.5590,0.3370,19.770
7.5R,5,16,0.5901,0.3331,19.770
7.5R,5,18,0.6161,0.3277,19.770
7.5R,5,20,0.6388,0.3216,19.770
7.5R,6,2,0.3381,0.3228,30.050
7.5R,6,4,0.3692,0.3291,30.050
7.5R,6,6,0.4000,0.3340,30.050
7.5R,6,8,0.4318,0.3383,30.050
7.5R,6,10,0.4655,0.3412,30.050
7.5R,6,12,0.4961,0.3428,30.050
7.5R,6,14,0.5265,0.3431,30.050
7.5R,6,16,0.5560,0.3420,30.050
7.5R,6,18,0.5829,0.3396,30.050
7.5R,7,2,0.3335,0.3220,43.060
7.5R,7,4,0.3611,0.3282,43.060
7.5R,7,6,0.3888,0.3336,43.060
7.5R,7,8,0.4196,0.3382,43.060
7.5R,7,10,0.4470,0.3413,43.060
7.5R,7,12,0.4777,0.3435,43.060
7.5R,7,14,0.5059,0.3450,43.060
7.5R,7,16,0.5341,0.3452,43.060
7.5R,8,2,0.3277,0.3211,59.100
7.5R,8,4,0.3564,0.3279,59.100
7.5R,8,6,0.3830,0.3335,59.100
7.5R,8,8,0.4118,0.3385,59.100
7.5R,8,10,0.4388,0.3419,59.100
7.5R,9,2,0.3263,0.3210,78.660
7.5R,9,4,0.3551,0.3283,78.660
7.5R,9,6,0.3812,0.3348,78.660
10R,1,2,0.4128,0.3154,1.210
10R,1,4,0.4933,0.3068,1.210
10R,1,6,0.5584,0.2921,1.210
10R,1,8,0.6178,0.2713,1.210
10R,1,10,0.6661,0.2499,1.210
10R,2,2,0.3811,0.3274,3.126
10R,2,4,0.4481,0.3330,3.126
10R,2,6,0.5095,0.3331,3.126
10R,2,8,0.5713,0.3259,3.126
10R,2,10,0.6247,0.3120,3.126
10R,2,12,0.6732,0.2937,3.126
10R,2,14,0.7165,0.2734,3.126
10R,3,2,0.3728,0.3314,6.555
10R,3,4,0.4308,0.3412,6.555
10R,3,6,0.4854,0.3467,6.555
10R,3,8,0.5393,0.3477,6.555
10R,3,10,0.5871,0.3440,6.555
10R,3,12,0.6322,0.3361,6.555
10R,3,14,0.6703,0.3249,6.555
10R,4,2,0.3582,0.3294,12.000
10R,4,4,0.4078,0.3412,12.000
10R,4,6,0.4535,0.3500,12.000
10R,4,8,0.4995,0.3557,12.000
10R,4,10,0.5418,0.3580,12.000
10R,4,12,0.5801,0.3588,12.000
10R,4,14,0.6154,0.3568,12.000
10R,4,16,0.6409,0.3533,12.000
10R,5,2,0.3465,0.3278,19.770
10R,5,4,0.3879,0.3398,19.770
10R,5,6,0.4299,0.3499,19.770
10R,5,8,0.4713,0.3575,19.770
10R,5,10,0.5113,0.3630,19.770
10R,5,12,0.5481,0.3660,19.770
10R,5,14,0.5771,0.3664,19.770
10R,5,16,0.6037,0.3657,19.770
10R,5,18,0.6297,0.3642,19.770
10R,6,2,0.3417,0.3268,30.050
10R,6,4,0.3768,0.3381,30.050
10R,6,6,0.4103,0.3473,30.050
10R,6,8,0.4449,0.3550,30.050
10R,6,10,0.4812,0.3619,30.050
10R,6,12,0.5150,0.3667,30.050
10R,6,14,0.5468,0.3697,30.050
10R,6,16,0.5741,0.3713,30.050
10R,6,18,0.6009,0.3720,30.050
10R,7,2,0.3360,0.3253,43.060
10R,7,4,0.3671,0.3360,43.060
10R,7,6,0.3984,0.3452,43.060
10R,7,8,0.4308,0.3533,43.060
10R,7,10,0.4600,0.3596,43.060
10R,7,12,0.4930,0.3659,43.060
10R,7,14,0.5234,0.3700,43.060
10R,7,16,0.5519,0.3729,43.060
10R,8,2,0.3301,0.3237,59.100
10R,8,4,0.3621,0.3349,59.100
10R,8,6,0.3910,0.3442,59.100
10R,8,8,0.4212,0.3526,59.100
10R,8,10,0.4490,0.3589,59.100
10R,9,2,0.3284,0.3233,78.660
10R,9,4,0.3600,0.3348,78.660
10R,9,6,0.3880,0.3439,78.660
