h,V,C,x,y,Y
2.5RP,1,2,0.3240,0.2459,1.210
2.5RP,1,4,0.3290,0.2095,1.210
2.5RP,1,6,0.3321,0.1811,1.210
2.5RP,1,8,0.3342,0.1551,1.210
2.5RP,1,10,0.3354,0.1351,1.210
2.5RP,1,12,0.3361,0.1181,1.210
2.5RP,1,14,0.3368,0.1020,1.210
2.5RP,1,16,0.3368,0.0902,1.210
2.5RP,2,2,0.3279,0.2754,3.126
2.5RP,2,4,0.3382,0.2496,3.126
2.5RP,2,6,0.3470,0.2259,3.126
2.5RP,2,8,0.3555,0.2003,3.126
2.5RP,2,10,0.3617,0.1800,3.126
2.5RP,2,12,0.3668,0.1618,3.126
2.5RP,2,14,0.3711,0.1449,3.126
2.5RP,2,16,0.3748,0.1310,3.126
2.5RP,2,18,0.3778,0.1188,3.126
2.5RP,2,20,0.3802,0.1080,3.126
2.5RP,3,2,0.3272,0.2861,6.555
2.5RP,3,4,0.3400,0.2624,6.555
2.5RP,3,6,0.3501,0.2425,6.555
2.5RP,3,8,0.3598,0.2233,6.555
2.5RP,3,10,0.3681,0.2054,6.555
2.5RP,3,12,0.3754,0.1898,6.555
2.5RP,3,14,0.3818,0.1758,6.555
2.5RP,3,16,0.3876,0.1629,6.555
2.5RP,3,18,0.3929,0.1506,6.555
2.5RP,3,20,0.3969,0.1413,6.555
2.5RP,3,22,0.4018,0.1304,6.555
2.5RP,4,2,0.3231,0.2951,12.000
2.5RP,4,4,0.3340,0.2770,12.000
2.5RP,4,6,0.3442,0.2595,12.000
2.5RP,4,8,0.3533,0.2438,12.000
2.5RP,4,10,0.3608,0.2301,12.000
2.5RP,4,12,0.3683,0.2162,12.000
2.5RP,4,14,0.3748,0.2039,12.000
2.5RP,4,16,0.3807,0.1923,12.000
2.5RP,4,18,0.3865,0.1802,12.000
2.5RP,4,20,0.3926,0.1679,12.000
2.5RP,4,22,0.3967,0.1593,12.000
2.5RP,4,24,0.4011,0.1504,12.000
2.5RP,4,26,0.4048,0.1428,12.000
2.5RP,5,2,0.3199,0.3019,19.770
2.5RP,5,4,0.3298,0.2869,19.770
2.5RP,5,6,0.3396,0.2718,19.770
2.5RP,5,8,0.3490,0.2570,19.770
2.5RP,5,10,0.3560,0.2452,19.770
2.5RP,5,12,0.3635,0.2325,19.770
2.5RP,5,14,0.3703,0.2211,19.770
2.5RP,5,16,0.3763,0.2108,19.770
2.5RP,5,18,0.3821,0.2007,19.770
2.5RP,5,20,0.3873,0.1909,19.770
2.5RP,5,22,0.3924,0.1814,19.770
2.5RP,5,24,0.3965,0.1738,19.770
2.5RP,5,26,0.4011,0.1652,19.770
2.5RP,6,2,0.3188,0.3048,30.050
2.5RP,6,4,0.3272,0.2929,30.050
2.5RP,6,6,0.3362,0.2799,30.050
2.5RP,6,8,0.3437,0.2688,30.050
2.5RP,6,10,0.3509,0.2578,30.050
2.5RP,6,12,0.3582,0.2462,30.050
2.5RP,6,14,0.3652,0.2355,30.050
2.5RP,6,16,0.3718,0.2251,30.050
2.5RP,6,18,0.3773,0.2158,30.050
2.5RP,6,20,0.3833,0.2056,30.050
2.5RP,6,22,0.3877,0.1978,30.050
2.5RP,6,24,0.3927,0.1892,30.050
2.5RP,7,2,0.3170,0.3076,43.060
2.5RP,7,4,0.3254,0.2971,43.060
2.5RP,7,6,0.3338,0.2854,43.060
2.5RP,7,8,0.3417,0.2745,43.060
2.5RP,7,10,0.3487,0.2648,43.060
2.5RP,7,12,0.3555,0.2545,43.060
2.5RP,7,14,0.3620,0.2448,43.060
2.5RP,7,16,0.3688,0.2342,43.060
2.5RP,7,18,0.3751,0.2241,43.060
2.5RP,7,20,0.3811,0.2143,43.060
2.5RP,8,2,0.3154,0.3100,59.100
2.5RP,8,4,0.3239,0.3000,59.100
2.5RP,8,6,0.3327,0.2898,59.100
2.5RP,8,8,0.3406,0.2793,59.100
2.5RP,8,10,0.3479,0.2699,59.100
2.5RP,8,12,0.3552,0.2594,59.100
2.5RP,8,14,0.3621,0.2496,59.100
2.5RP,9,2,0.3149,0.3108,78.660
2.5RP,9,4,0.3234,0.3010,78.660
2.5RP,9,6,0.3322,0.2910,78.660
5RP,1,2,0.3378,0.2542,1.210
5RP,1,4,0.3503,0.2196,1.210
5RP,1,6,0.3588,0.1920,1.210
5RP,1,8,0.3660,0.1662,1.210
5RP,1,10,0.3727,0.1458,1.210
5RP,1,12,0.3772,0.1283,1.210
5RP,1,14,0.3811,0.1138,1.210
5RP,2,2,0.3383,0.2829,3.126
5RP,2,4,0.3558,0.2597,3.126
5RP,2,6,0.3708,0.2380,3.126
5RP,2,8,0.3858,0.2140,3.126
5RP,2,10,0.3971,0.1939,3.126
5RP,2,12,0.4080,0.1764,3.126
5RP,2,14,0.4180,0.1598,3.126
5RP,2,16,0.4269,0.1454,3.126
5RP,2,18,0.4338,0.1340,3.126
5RP,3,2,0.3370,0.2940,6.555
5RP,3,4,0.3586,0.2742,6.555
5RP,3,6,0.3765,0.2569,6.555
5RP,3,8,0.3930,0.2395,6.555
5RP,3,10,0.4073,0.2235,6.555
5RP,3,12,0.4199,0.2089,6.555
5RP,3,14,0.4313,0.1944,6.555
5RP,3,16,0.4418,0.1809,6.555
5RP,3,18,0.4503,0.1695,6.555
5RP,3,20,0.4577,0.1593,6.555
5RP,4,2,0.3310,0.3010,12.000
5RP,4,4,0.3491,0.2872,12.000
5RP,4,6,0.3671,0.2733,12.000
5RP,4,8,0.3833,0.2600,12.000
5RP,4,10,0.3960,0.2489,12.000
5RP,4,12,0.4104,0.2361,12.000
5RP,4,14,0.4225,0.2249,12.000
5RP,4,16,0.4339,0.2139,12.000
5RP,4,18,0.4455,0.2023,12.000
5RP,4,20,0.4571,0.1906,12.000
5RP,4,22,0.4656,0.1821,12.000
5RP,5,2,0.3256,0.3065,19.770
5RP,5,4,0.3421,0.2954,19.770
5RP,5,6,0.3585,0.2842,19.770
5RP,5,8,0.3748,0.2729,19.770
5RP,5,10,0.3880,0.2630,19.770
5RP,5,12,0.4022,0.2523,19.770
5RP,5,14,0.4142,0.2428,19.770
5RP,5,16,0.4261,0.2331,19.770
5RP,5,18,0.4372,0.2242,19.770
5RP,5,20,0.4484,0.2150,19.770
5RP,5,22,0.4581,0.2068,19.770
5RP,5,24,0.4683,0.1978,19.770
5RP,6,2,0.3232,0.3085,30.050
5RP,6,4,0.3371,0.3001,30.050
5RP,6,6,0.3520,0.2904,30.050
5RP,6,8,0.3648,0.2820,30.050
5RP,6,10,0.3769,0.2738,30.050
5RP,6,12,0.3900,0.2646,30.050
5RP,6,14,0.4023,0.2552,30.050
5RP,6,16,0.4136,0.2467,30.050
5RP,6,18,0.4245,0.2382,30.050
5RP,6,20,0.4368,0.2283,30.050
5RP,6,22,0.4449,0.2219,30.050
5RP,7,2,0.3206,0.3104,43.060
5RP,7,4,0.3332,0.3032,43.060
5RP,7,6,0.3470,0.2949,43.060
5RP,7,8,0.3603,0.2869,43.060
5RP,7,10,0.3713,0.2798,43.060
5RP,7,12,0.3841,0.2710,43.060
5RP,7,14,0.3958,0.2628,43.060
5RP,7,16,0.4076,0.2540,43.060
5RP,7,18,0.4186,0.2459,43.060
5RP,8,2,0.3180,0.3120,59.100
5RP,8,4,0.3308,0.3052,59.100
5RP,8,6,0.3440,0.2978,59.100
5RP,8,8,0.3570,0.2900,59.100
5RP,8,10,0.3685,0.2828,59.100
5RP,8,12,0.3818,0.2742,59.100
5RP,9,2,0.3172,0.3126,78.660
5RP,9,4,0.3301,0.3060,78.660
5RP,9,6,0.3431,0.2988,78.660
7.5RP,1,2,0.3498,0.2617,1.210
7.5RP,1,4,0.3705,0.2300,1.210
7.5RP,1,6,0.3865,0.2036,1.210
7.5RP,1,8,0.4005,0.1793,1.210
7.5RP,1,10,0.4132,0.1580,1.210
7.5RP,1,12,0.4240,0.1400,1.210
7.5RP,2,2,0.3459,0.2892,3.126
7.5RP,2,4,0.3702,0.2683,3.126
7.5RP,2,6,0.3918,0.2490,3.126
7.5RP,2,8,0.4137,0.2276,3.126
7.5RP,2,10,0.4321,0.2082,3.126
7.5RP,2,12,0.4481,0.1903,3.126
7.5RP,2,14,0.4624,0.1737,3.126
7.5RP,2,16,0.4744,0.1595,3.126
7.5RP,3,2,0.3450,0.3001,6.555
7.5RP,3,4,0.3739,0.2851,6.555
7.5RP,3,6,0.3990,0.2708,6.555
7.5RP,3,8,0.4234,0.2556,6.555
7.5RP,3,10,0.4445,0.2419,6.555
7.5RP,3,12,0.4654,0.2273,6.555
7.5RP,3,14,0.4831,0.2140,6.555
7.5RP,3,16,0.4991,0.2011,6.555
7.5RP,3,18,0.5130,0.1893,6.555
7.5RP,4,2,0.3371,0.3061,12.000
7.5RP,4,4,0.3612,0.2963,12.000
7.5RP,4,6,0.3850,0.2859,12.000
7.5RP,4,8,0.4072,0.2750,12.000
7.5RP,4,10,0.4259,0.2651,12.000
7.5RP,4,12,0.4450,0.2541,12.000
7.5RP,4,14,0.4629,0.2437,12.000
7.5RP,4,16,0.4799,0.2329,12.000
7.5RP,4,18,0.4965,0.2217,12.000
7.5RP,4,20,0.5130,0.2101,12.000
7.5RP,5,2,0.3296,0.3098,19.770
7.5RP,5,4,0.3515,0.3024,19.770
7.5RP,5,6,0.3726,0.2941,19.770
7.5RP,5,8,0.3932,0.2852,19.770
7.5RP,5,10,0.4108,0.2773,19.770
7.5RP,5,12,0.4303,0.2675,19.770
7.5RP,5,14,0.4454,0.2596,19.770
7.5RP,5,16,0.4617,0.2506,19.770
7.5RP,5,18,0.4761,0.2421,19.770
7.5RP,5,20,0.4915,0.2330,19.770
7.5RP,5,22,0.5045,0.2248,19.770
7.5RP,6,2,0.3261,0.3113,30.050
7.5RP,6,4,0.3439,0.3056,30.050
7.5RP,6,6,0.3635,0.2987,30.050
7.5RP,6,8,0.3791,0.2929,30.050
7.5RP,6,10,0.3960,0.2860,30.050
7.5RP,6,12,0.4125,0.2784,30.050
7.5RP,6,14,0.4285,0.2705,30.050
7.5RP,6,16,0.4448,0.2622,30.050
7.5RP,6,18,0.4581,0.2549,30.050
7.5RP,6,20,0.4735,0.2464,30.050
7.5RP,7,2,0.3232,0.3125,43.060
7.5RP,7,4,0.3389,0.3079,43.060
7.5RP,7,6,0.3562,0.3022,43.060
7.5RP,7,8,0.3722,0.2963,43.060
7.5RP,7,10,0.3871,0.2906,43.060
7.5RP,7,12,0.4040,0.2834,43.060
7.5RP,7,14,0.4195,0.2762,43.060
7.5RP,7,16,0.4346,0.2689,43.060
7.5RP,8,2,0.3200,0.3136,59.100
7.5RP,8,4,0.3360,0.3092,59.100
7.5RP,8,6,0.3521,0.3042,59.100
7.5RP,8,8,0.3682,0.2983,59.100
7.5RP,8,10,0.3830,0.2930,59.100
7.5RP,8,12,0.4002,0.2859,59.100
7.5RP,9,2,0.3190,0.3141,78.660
7.5RP,9,4,0.3350,0.3099,78.660
7.5RP,9,6,0.3512,0.3052,78.660
10RP,1,2,0.3629,0.2710,1.210
10RP,1,4,0.3920,0.2423,1.210
10RP,1,6,0.4151,0.2169,1.210
10RP,1,8,0.4357,0.1921,1.210
10RP,1,10,0.4521,0.1710,1.210
10RP,1,12,0.4668,0.1514,1.210
10RP,2,2,0.3532,0.2957,3.126
10RP,2,4,0.3850,0.2778,3.126
10RP,2,6,0.4139,0.2608,3.126
10RP,2,8,0.4428,0.2419,3.126
10RP,2,10,0.4678,0.2237,3.126
10RP,2,12,0.4911,0.2060,3.126
10RP,2,14,0.5129,0.1888,3.126
10RP,3,2,0.3526,0.3068,6.555
10RP,3,4,0.3889,0.2969,6.555
10RP,3,6,0.4218,0.2864,6.555
10RP,3,8,0.4552,0.2741,6.555
10RP,3,10,0.4851,0.2618,6.555
10RP,3,12,0.5139,0.2489,6.555
10RP,3,14,0.5380,0.2369,6.555
10RP,3,16,0.5628,0.2241,6.555
10RP,4,2,0.3417,0.3106,12.000
10RP,4,4,0.3715,0.3042,12.000
10RP,4,6,0.3999,0.2972,12.000
10RP,4,8,0.4282,0.2890,12.000
10RP,4,10,0.4528,0.2811,12.000
10RP,4,12,0.4789,0.2717,12.000
10RP,4,14,0.5020,0.2623,12.000
10RP,4,16,0.5234,0.2530,12.000
10RP,4,18,0.5466,0.2424,12.000
10RP,4,20,0.5674,0.2319,12.000
10RP,5,2,0.3332,0.3131,19.770
10RP,5,4,0.3594,0.3090,19.770
10RP,5,6,0.3851,0.3039,19.770
10RP,5,8,0.4105,0.2980,19.770
10RP,5,10,0.4332,0.2918,19.770
10RP,5,12,0.4579,0.2841,19.770
10RP,5,14,0.4767,0.2776,19.770
10RP,5,16,0.4986,0.2695,19.770
10RP,5,18,0.5185,0.2620,19.770
10RP,5,20,0.5396,0.2535,19.770
10RP,6,2,0.3292,0.3141,30.050
10RP,6,4,0.3508,0.3112,30.050
10RP,6,6,0.3740,0.3074,30.050
10RP,6,8,0.3930,0.3038,30.050
10RP,6,10,0.4150,0.2989,30.050
10RP,6,12,0.4360,0.2936,30.050
10RP,6,14,0.4552,0.2881,30.050
10RP,6,16,0.4781,0.2812,30.050
10RP,6,18,0.4961,0.2751,30.050
10RP,7,2,0.3258,0.3148,43.060
10RP,7,4,0.3446,0.3125,43.060
10RP,7,6,0.3648,0.3098,43.060
10RP,7,8,0.3851,0.3067,43.060
10RP,7,10,0.4040,0.3030,43.060
10RP,7,12,0.4260,0.2980,43.060
10RP,7,14,0.4456,0.2931,43.060
10RP,7,16,0.4648,0.2878,43.060
10RP,8,2,0.3218,0.3152,59.100
10RP,8,4,0.3412,0.3135,59.100
10RP,8,6,0.3600,0.3112,59.100
10RP,8,8,0.3800,0.3082,59.100
10RP,8,10,0.3983,0.3049,59.100
10RP,9,2,0.3205,0.3155,78.660
10RP,9,4,0.3400,0.3140,78.660
10RP,9,6,0.3590,0.3118,78.660
