h,V,C,x,y,Y
2.5Y,1,2,0.4362,0.4177,1.210
2.5Y,2,2,0.3825,0.3785,3.126
2.5Y,2,4,0.4627,0.4392,3.126
2.5Y,3,2,0.3703,0.3700,6.555
2.5Y,3,4,0.4277,0.4166,6.555
2.5Y,3,6,0.4784,0.4531,6.555
2.5Y,4,2,0.3633,0.3654,12.000
2.5Y,4,4,0.4138,0.4076,12.000
2.5Y,4,6,0.4542,0.4391,12.000
2.5Y,4,8,0.4865,0.4625,12.000
2.5Y,4,10,0.5120,0.4800,12.000
2.5Y,5,2,0.3534,0.3570,19.770
2.5Y,5,4,0.3968,0.3954,19.770
2.5Y,5,6,0.4380,0.4292,19.770
2.5Y,5,8,0.4685,0.4524,19.770
2.5Y,5,10,0.4905,0.4683,19.770
2.5Y,5,12,0.5082,0.4812,19.770
2.5Y,6,2,0.3480,0.3540,30.050
2.5Y,6,4,0.3840,0.3867,30.050
2.5Y,6,6,0.4203,0.4176,30.050
2.5Y,6,8,0.4517,0.4421,30.050
2.5Y,6,10,0.4760,0.4607,30.050
2.5Y,6,12,0.4928,0.4730,30.050
2.5Y,6,14,0.5061,0.4829,30.050
2.5Y,7,2,0.3436,0.3507,43.060
2.5Y,7,4,0.3761,0.3800,43.060
2.5Y,7,6,0.4073,0.4073,43.060
2.5Y,7,8,0.4353,0.4312,43.060
2.5Y,7,10,0.4606,0.4516,43.060
2.5Y,7,12,0.4806,0.4666,43.060
2.5Y,7,14,0.4950,0.4773,43.060
2.5Y,7,16,0.5049,0.4843,43.060
2.5Y,8,2,0.3406,0.3484,59.100
2.5Y,8,4,0.3684,0.3751,59.100
2.5Y,8,6,0.3969,0.4009,59.100
2.5Y,8,8,0.4231,0.4231,59.100
2.5Y,8,10,0.4469,0.4423,59.100
2.5Y,8,12,0.4678,0.4589,59.100
2.5Y,8,14,0.4842,0.4712,59.100
2.5Y,8,16,0.4957,0.4800,59.100
2.5Y,8,18,0.5033,0.4855,59.100
2.5Y,8,20,0.5091,0.4900,59.100
2.5Y,9,2,0.3390,0.3472,78.660
2.5Y,9,4,0.3655,0.3738,78.660
2.5Y,9,6,0.3910,0.3972,78.660
2.5Y,9,8,0.4154,0.4186,78.660
2.5Y,9,10,0.4370,0.4369,78.660
2.5Y,9,12,0.4569,0.4527,78.660
5Y,1,2,0.4230,0.4265,1.210
5Y,2,2,0.3757,0.3839,3.126
5Y,2,4,0.4543,0.4573,3.126
